model,mode,magnitude,n,n_qkeys,mean_delta_target,ci95_delta_target,mean_delta_others,ci95_delta_others,mean_delta_specificity,ci95_delta_specificity,mean_delta_nearest,ci95_delta_nearest
llama,contrastive,10.0,4362,486,-0.04255235244432249,0.0132631542167498,-0.045855145482288924,0.013168274215542066,0.00330279303796643,0.006468960703096808,-0.0008023842274186154,0.017943122730822356
llama,contrastive,12.0,4362,486,-0.0493014737027912,0.01350128494039241,-0.05332233206476568,0.013417536168953479,0.004020858361974492,0.006860918012377751,-0.00527281063732233,0.01835555494119281
llama,contrastive,14.0,4362,486,-0.05640508586754367,0.013575550955467586,-0.060698746755713136,0.01348521067136248,0.004293660888169451,0.0071178114958091706,-0.005616689591930307,0.0185020328059199
llama,contrastive,16.0,4362,486,-0.06527605314358709,0.013479010142879989,-0.06974110084957086,0.013397984513363779,0.004465047705983782,0.00719854580815639,-0.007450710683172856,0.018599440245463793
llama,contrastive,18.0,4362,486,-0.07477376296115662,0.013301521459967653,-0.07963153521805616,0.013238701528081405,0.004857772256899542,0.007175452314112294,-0.009284731774415406,0.018533449738282762
llama,contrastive,20.0,4362,486,-0.08444325285651966,0.013112807403120985,-0.0896499819895761,0.0130549218103578,0.0052067291330564515,0.007108502124229726,-0.0069922054103622195,0.01842505528940324
mistral,normal,0.0,4362,486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mistral,normal,2.0,4362,486,-0.26334812588668743,0.011762294453150267,-0.26263271025549534,0.011406918715127933,-0.0007154156311920463,0.006794374032380935,0.0,0.020527184789055904
mistral,normal,4.0,4362,486,-0.2226152737090596,0.012902017606356238,-0.22200592794912763,0.012631666940980224,-0.0006093457599319658,0.007479527467564715,-0.006304447501146263,0.02203634221387193
mistral,normal,6.0,4362,486,-0.20288040856977535,0.013222052916364994,-0.20188529637820896,0.012961243002510761,-0.0009951121915663965,0.007645275937399972,-0.002636405318661165,0.022454587938410434
mistral,normal,8.0,4362,486,-0.19203642810866944,0.013376405699249461,-0.19103826926336723,0.013118560198773437,-0.0009981588453021764,0.007713411012210081,-0.002636405318661165,0.022598027966132757
mistral,normal,10.0,4362,486,-0.18641149169466947,0.013450444918247139,-0.18543327364625134,0.013199947128549223,-0.0009782180484181825,0.007752721516460546,-0.003782668500687758,0.022682623431971673
mistral,normal,12.0,4362,486,-0.1817792546009681,0.013510262282769471,-0.18079968855927148,0.013263340105472384,-0.000979566041696641,0.0077801435835877855,-0.003094910591471802,0.02274051234190623
mistral,normal,14.0,4362,486,-0.1788071603236657,0.013552152418614162,-0.17791861418244387,0.013310987810610585,-0.0008885461412217691,0.00779959928977577,-0.0021779000458505273,0.02278496532393859
mistral,normal,16.0,4362,486,-0.17618670516214588,0.013584056156315477,-0.17532373730737152,0.013347391911953227,-0.0008629678547742988,0.007812262160319785,-0.0012608895002292526,0.022829299300314784
mistral,normal,18.0,4362,486,-0.17449644978218667,0.013606694121965992,-0.17367560649134844,0.013371140083958786,-0.0008208432908382474,0.007822007645821773,-0.0014901421366345714,0.022851391487742165
mistral,normal,20.0,4362,486,-0.17329850327862725,0.013623699113927457,-0.17251161080206903,0.013390674722705389,-0.0007868924765581954,0.007833561516678345,-0.0012608895002292526,0.02285582194720388
mistral,contrastive,0.0,4362,486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mistral,contrastive,2.0,4362,486,-0.24081753905885941,0.012470463454882416,-0.23851119501625795,0.012162299194989899,-0.002306344042601456,0.007141166120069929,0.004011921137093076,0.021718351065619472
mistral,contrastive,4.0,4362,486,-0.20435046133399865,0.013129632619803516,-0.20243696973374256,0.012883784905182986,-0.001913491600256102,0.007548464965634837,-0.000343878954607978,0.022436727581370247
mistral,contrastive,6.0,4362,486,-0.19021554349657913,0.013329551052762345,-0.18886056431321466,0.013112895494146943,-0.0013549791833644667,0.0076617512835449875,-0.0008023842274186154,0.022580270814649753
mistral,contrastive,8.0,4362,486,-0.18315151739820848,0.013430169142261547,-0.1820490572421474,0.013228613621062636,-0.0011024601560610727,0.007717974704528236,0.000343878954607978,0.0226828989770012
mistral,contrastive,10.0,4362,486,-0.17911142560031035,0.013486576287299141,-0.17812513966641091,0.013291377740411938,-0.0009862859338994356,0.007748498239633109,0.003094910591471802,0.022736071630397533
mistral,contrastive,12.0,4362,486,-0.1762262823192799,0.013523285203290469,-0.17530813546563764,0.013331454337686658,-0.0009181468536422227,0.007768511421026927,0.002636405318661165,0.02277162390259387
mistral,contrastive,14.0,4362,486,-0.17482384272533721,0.013552747855297182,-0.17398906724185553,0.0133636834274716,-0.0008347754834817131,0.007784193154191067,0.0008023842274186154,0.022798335491088197
mistral,contrastive,16.0,4362,486,-0.17296512704442268,0.013576700083937554,-0.17217055655119878,0.013392854143950155,-0.0007945704932238825,0.007795751765073425,0.0010316368638239339,0.02282930944017714
mistral,contrastive,18.0,4362,486,-0.17154339586723272,0.013594099079225841,-0.17077150847158798,0.013410056274919022,-0.0007718873956447686,0.007804405717400508,0.0005731315910132966,0.022855846254626087
mistral,contrastive,20.0,4362,486,-0.17074995590273107,0.01360540412934407,-0.17002058829173158,0.0134251838605656,-0.0007293676109994888,0.007811817128616657,0.0008023842274186154,0.02285142187790682
