model,mode,attribute,model_class,magnitude,n,mean_delta_target,median_delta_target,mean_delta_others,median_delta_others,mean_delta_specificity,median_delta_specificity,mean_delta_nearest,median_delta_nearest
mistral,normal,gender,female,18.0,484,-0.08263638464024421,-0.06472344903174948,-0.15893841384979282,-0.1429332180796279,0.07630202920954864,0.04052922138401863,-0.23760330578512398,0.0
mistral,normal,gender,female,20.0,484,-0.08275204218648871,-0.06433083436364295,-0.15909974345290528,-0.13971485411653495,0.07634770126641657,0.04052922138401863,-0.23760330578512398,0.0
mistral,normal,age,adult,0.0,482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mistral,normal,age,adult,2.0,482,-0.26932675718089244,-0.24366673130176325,-0.2453606209449529,-0.2202621540760588,-0.023966136235939503,-0.007408445,0.0954356846473029,0.0
mistral,normal,age,adult,4.0,482,-0.15754082087419286,-0.14045962985699845,-0.15155771642518576,-0.13835297113858147,-0.0059831044490070715,-0.0033527332172627877,0.04771784232365145,0.0
mistral,normal,age,adult,6.0,482,-0.11954482978433931,-0.10618134153810592,-0.11665689739557819,-0.12718496051720177,-0.0028879323887610834,-0.002950089581112092,0.04564315352697095,0.0
mistral,normal,age,adult,8.0,482,-0.10163181942958255,-0.0976214174094265,-0.09996099002282934,-0.11328956908969187,-0.0016708294067532146,-0.003909699960902957,0.03734439834024896,0.0
mistral,normal,age,adult,10.0,482,-0.09248851899348409,-0.0895692229476647,-0.09131427042796508,-0.10420931627002494,-0.0011742485655190059,-0.003909699960902957,0.035269709543568464,0.0
mistral,normal,age,adult,12.0,482,-0.08348155869924478,-0.08029938300760223,-0.08282298875443272,-0.0931804862007275,-0.0006585699448120551,-0.005156349599571425,0.03319502074688797,0.0
mistral,normal,age,adult,14.0,482,-0.07784596783929103,-0.0750893726075029,-0.07752432480331083,-0.0810328420226577,-0.0003216430359802099,-0.0022245299852920453,0.03112033195020747,0.0
mistral,normal,age,adult,16.0,482,-0.07465162244733017,-0.0731834203234483,-0.07458898071225267,-0.07486616088129178,-6.264173507749471e-05,-0.0027702307344718013,0.029045643153526972,0.0
mistral,normal,age,adult,18.0,482,-0.07158477460276169,-0.0740573773737355,-0.07173522986839762,-0.07220993972815462,0.00015045526563590538,-0.003406899985292061,0.026970954356846474,0.0
