model,mode,attribute,model_class,magnitude,n,mean_delta_target,median_delta_target,mean_delta_others,median_delta_others,mean_delta_specificity,median_delta_specificity,mean_delta_nearest,median_delta_nearest
qwen,normal,education,some schooling,12.0,486,-0.024908811432776384,-1.9674999313795682e-06,-0.018161569144366285,-2.890000002364612e-06,-0.006747242288410095,0.0,0.018518518518518517,0.0
qwen,normal,education,some schooling,14.0,486,-0.03062809590839464,-2.444500086390411e-05,-0.022191632654897063,-2.6754998692757326e-05,-0.008436463253497575,0.0,0.0205761316872428,0.0
qwen,normal,education,some schooling,16.0,486,-0.03873275246220781,-0.0002714550152559392,-0.03285793356124784,-0.00027686500991841445,-0.005874818900959967,0.0,0.0102880658436214,0.0
qwen,normal,education,some schooling,18.0,486,-0.053307180583364526,-0.0016043397186277786,-0.046099325523926926,-0.001708879752035597,-0.007207855059437592,0.0,0.01440329218106996,0.0
qwen,normal,education,some schooling,20.0,486,-0.07464626582201822,-0.005691414886160817,-0.05906010108179837,-0.005583477444018242,-0.015586164740219849,0.0,0.02880658436213992,0.0
qwen,normal,education,high school,0.0,486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen,normal,education,high school,2.0,486,0.004911354206757745,0.0,0.004239810962454019,0.0,0.0006715432443037253,0.0,0.00205761316872428,0.0
qwen,normal,education,high school,4.0,486,0.008959538850816216,0.0,0.00920139740261381,0.0,-0.00024185855179759382,0.0,0.0102880658436214,0.0
qwen,normal,education,high school,6.0,486,0.016287199085900945,0.0,0.015074472936819848,0.0,0.001212726149081095,0.0,0.006172839506172839,0.0
qwen,normal,education,high school,8.0,486,0.02117874667569798,-1.4999999548015452e-08,0.019513183837716084,-1.2499999729742584e-08,0.0016655628379818913,0.0,0.0,0.0
qwen,normal,education,high school,10.0,486,0.018975690201964157,-1.0499999980595476e-07,0.01685507557566948,-1.0499999980595476e-07,0.0021206146262946796,0.0,-0.00823045267489712,0.0
qwen,normal,education,high school,12.0,486,0.014745992475479478,-7.799999823809856e-07,0.014553333579716731,-9.300000858858404e-07,0.00019265889576275099,0.0,0.00205761316872428,0.0
qwen,normal,education,high school,14.0,486,0.007496924151430488,-5.227499795201762e-06,0.007880782799301551,-6.109999708459046e-06,-0.00038385864787106484,0.0,0.006172839506172839,0.0
qwen,normal,education,high school,16.0,486,-0.010164096845211374,-0.00011886000263994223,-0.008904032089013116,-0.00013133250391200724,-0.001260064756198269,0.0,-0.00205761316872428,0.0
qwen,normal,education,high school,18.0,486,-0.028279217491225916,-0.001521459963309213,-0.028903890609068002,-0.001681919965537959,0.0006246731178420888,0.0,-0.01440329218106996,0.0
qwen,normal,education,high school,20.0,486,-0.05716048735913282,-0.010674735182186978,-0.05233330754608486,-0.009919809793835443,-0.004827179813047948,0.0,0.01440329218106996,0.0
qwen,normal,education,college and more,0.0,486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen,normal,education,college and more,2.0,486,-0.0013050167497564874,-7.251658995510724e-08,-0.002401558304875786,-7.251658995510724e-08,0.0010965415551192985,0.0,-0.00205761316872428,0.0
qwen,normal,education,college and more,4.0,486,-0.0024377113012228717,-2.1499968061444719e-07,-0.00564314803754567,-2.3999968679078165e-07,0.003205436736322798,0.0,-0.00411522633744856,0.0
qwen,normal,education,college and more,6.0,486,-0.0053639393308984725,-3.2596203484169806e-06,-0.009793251839032123,-3.2596203484169806e-06,0.004429312508133649,0.0,0.0,0.0
qwen,normal,education,college and more,8.0,486,-0.007180720089678215,-1.6119999136587904e-05,-0.01306196261738348,-1.505499962861645e-05,0.005881242527705266,0.0,0.0,0.0
qwen,normal,education,college and more,10.0,486,-0.011058447723503522,-8.19065024054988e-05,-0.016804912596106635,-9.800499798862106e-05,0.005746464872603113,0.0,0.00205761316872428,0.0
qwen,normal,education,college and more,12.0,486,-0.017981944732506673,-0.00035898994787872396,-0.023178401162652226,-0.0003597249916431622,0.005196456430145551,0.0,0.00205761316872428,0.0
qwen,normal,education,college and more,14.0,486,-0.02489933407453359,-0.000984207274839527,-0.032014302489553996,-0.0010899000217624022,0.007114968415020408,0.0,-0.006172839506172839,0.0
qwen,normal,education,college and more,16.0,486,-0.03510652526367982,-0.0035111050584915593,-0.0429610246753102,-0.003601052676306671,0.00785449941163038,0.0,-0.00205761316872428,0.0
qwen,normal,education,college and more,18.0,486,-0.04654928993169437,-0.008351537183008628,-0.05597829014443845,-0.009154172853346534,0.009429000212744069,0.0,-0.00411522633744856,0.0
qwen,normal,education,college and more,20.0,486,-0.05854618434214598,-0.016154615758310065,-0.06899284830975415,-0.01851596740456768,0.010446663967608166,0.0,-0.006172839506172839,0.0
qwen,normal,socioeco,low,0.0,486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen,normal,socioeco,low,2.0,486,0.005987023841150795,0.0,0.006228857724759802,0.0,-0.00024183388360900717,0.0,0.00205761316872428,0.0
qwen,normal,socioeco,low,4.0,486,0.011249582774119717,4.9999998030791915e-09,0.01202146137249291,9.999997718779241e-09,-0.0007718785983731941,0.0,0.00205761316872428,0.0
qwen,normal,socioeco,low,6.0,486,0.014841022055618913,9.999998412668631e-09,0.015804033565892738,9.999999717180685e-09,-0.0009630115102738248,0.0,0.00205761316872428,0.0
qwen,normal,socioeco,low,8.0,486,0.01826877426952882,0.0,0.01734547632518791,0.0,0.0009232979443409069,0.0,0.00205761316872428,0.0
qwen,normal,socioeco,low,10.0,486,0.01955414055124457,0.0,0.019003063556432574,0.0,0.0005510769948119956,0.0,0.00411522633744856,0.0
qwen,normal,socioeco,low,12.0,486,0.01966921006105829,0.0,0.01867747279068731,0.0,0.0009917372703709749,0.0,0.0,0.0
qwen,normal,socioeco,low,14.0,486,0.015242763949613226,-1.9999998407405073e-08,0.015127831350315594,-1.999999538204733e-08,0.00011493259929762996,0.0,-0.00205761316872428,0.0
qwen,normal,socioeco,low,16.0,486,0.011997214042801746,-1.175000007153093e-07,0.013139649676460485,-9.000000469189251e-08,-0.0011424356336587388,0.0,-0.00823045267489712,0.0
qwen,normal,socioeco,low,18.0,486,0.009288887944149912,-1.9750000149199032e-07,0.010781972629532729,-2.3500006729459955e-07,-0.0014930846853828165,0.0,0.00205761316872428,0.0
qwen,normal,socioeco,low,20.0,486,0.008503076487146393,-6.124999995804625e-07,0.010753114685780378,-6.70000845526264e-07,-0.0022500381986339858,0.0,0.00205761316872428,0.0
qwen,normal,socioeco,high,0.0,486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen,normal,socioeco,high,2.0,486,0.003169123133999795,1.8999999218394237e-07,0.002724268885433144,1.3499999461374923e-07,0.00044485424856665116,0.0,-0.00411522633744856,0.0
qwen,normal,socioeco,high,4.0,486,0.004496291163143701,7.050000597752515e-07,0.004772388756593444,5.549999444465215e-07,-0.0002760975934497437,0.0,-0.006172839506172839,0.0
qwen,normal,socioeco,high,6.0,486,0.004439296881120336,4.6503050887825026e-07,0.006029792882106775,4.049999890454181e-07,-0.001590496000986441,0.0,-0.006172839506172839,0.0
qwen,normal,socioeco,high,8.0,486,0.0055237399840363435,1.2999999726703848e-07,0.007376004510406528,1.2999999726703848e-07,-0.0018522645263701857,0.0,0.0,0.0
qwen,normal,socioeco,high,10.0,486,0.008702697916665714,9.00000034498305e-08,0.009246373558678593,7.499999890581144e-08,-0.0005436756420128802,0.0,0.00205761316872428,0.0
qwen,normal,socioeco,high,12.0,486,0.00759571068946836,1.4999999603526604e-08,0.009011475594520516,9.999999828202988e-09,-0.0014157649050521562,0.0,0.00205761316872428,0.0
qwen,normal,socioeco,high,14.0,486,0.004405858493874733,0.0,0.0061633013010696175,0.0,-0.0017574428071948846,0.0,0.00205761316872428,0.0
qwen,normal,socioeco,high,16.0,486,0.0021529489952088953,-3.9999998535655834e-08,0.005061783534638673,-3.9999998535655834e-08,-0.0029088345394297777,0.0,0.00823045267489712,0.0
qwen,normal,socioeco,high,18.0,486,-0.002670930595595484,-1.1649999996365956e-06,0.0008046647910087463,-1.1649999996921068e-06,-0.0034755953866042306,0.0,0.00823045267489712,0.0
qwen,normal,socioeco,high,20.0,486,-0.010540431092000863,-2.2967499772708067e-05,-0.008399219000257911,-2.634000163198591e-05,-0.0021412120917429544,0.0,-0.00823045267489712,0.0
qwen,contrastive,gender,male,0.0,484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen,contrastive,gender,male,2.0,484,0.014428168095442107,0.0,0.013767643179800344,0.0,0.0006605249156417638,0.0,0.002066115702479339,0.0
qwen,contrastive,gender,male,4.0,484,0.02147284572404051,-2.55351295663786e-15,0.02247586391261132,0.0,-0.001003018188570808,0.0,0.006198347107438017,0.0
qwen,contrastive,gender,male,6.0,484,0.02174114516971929,-1.2494220025249803e-07,0.02406449899675261,-1.324999794882764e-07,-0.0023233538270333205,0.0,0.006198347107438017,0.0
qwen,contrastive,gender,male,8.0,484,0.004628522492558366,-1.157000121465579e-05,0.00520887716465433,-1.207500077587964e-05,-0.0005803546720959639,0.0,0.0,0.0
qwen,contrastive,gender,male,10.0,484,-0.037056468498985466,-0.0025429300793388954,-0.03622261848309879,-0.0025756525248117196,-0.0008338500158866844,0.0,0.006198347107438017,0.0
qwen,contrastive,gender,male,12.0,484,-0.09027559824785526,-0.028782359199872154,-0.08155274573405417,-0.024910091702948778,-0.008722852513801093,0.0,0.045454545454545456,0.0
qwen,contrastive,gender,male,14.0,484,-0.17894331898437696,-0.1246627717954504,-0.1558754120893328,-0.10936610782057626,-0.023067906895044142,0.0,0.10743801652892562,0.0
qwen,contrastive,gender,male,16.0,484,-0.2620739491811061,-0.24402682334085077,-0.2032830327454552,-0.19293475383700506,-0.058790916435650896,-0.005599138176808266,0.19008264462809918,0.0
qwen,contrastive,gender,male,18.0,484,-0.28736441803563484,-0.2813977184423261,-0.20488765617339108,-0.1932382356020749,-0.08247676186224384,-0.0334515749999999,0.2768595041322314,0.0
qwen,contrastive,gender,male,20.0,484,-0.3122640655430973,-0.2938396058007767,-0.22488993636757995,-0.20089528884427338,-0.08737412917551736,-0.03869212977348398,0.2830578512396694,0.0
qwen,contrastive,gender,female,0.0,484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen,contrastive,gender,female,2.0,484,-0.010081998988340616,-7.499999704618787e-09,-0.0119471431810673,-9.99999949513608e-09,0.001865144192726682,0.0,0.0,0.0
qwen,contrastive,gender,female,4.0,484,-0.01374568207248096,-1.099999994425005e-07,-0.017219809421979305,-1.9750003601992638e-07,0.0034741273494983457,0.0,-0.012396694214876033,0.0
qwen,contrastive,gender,female,6.0,484,-0.017400670820734356,-5.98250237485165e-06,-0.024187145020138485,-7.904999602514895e-06,0.006786474199404134,0.0,-0.01859504132231405,0.0
qwen,contrastive,gender,female,8.0,484,-0.029263348335027552,-2.7297499735484676e-05,-0.03684513480909255,-3.468000193168619e-05,0.007581786474065002,0.0,-0.01859504132231405,0.0
qwen,contrastive,gender,female,10.0,484,-0.04008040478023348,-0.0002545500063961814,-0.04801224289313452,-0.0002545500063961814,0.007931838112901036,0.0,-0.012396694214876033,0.0
qwen,contrastive,gender,female,12.0,484,-0.04398327798629618,-0.0006357499485543094,-0.04813913627997598,-0.0006933850001602515,0.0041558582936798176,0.0,-0.004132231404958678,0.0
qwen,contrastive,gender,female,14.0,484,-0.043707922751437436,-0.0021294077101590148,-0.0513162391219146,-0.0023995598582456923,0.007608316370477184,0.0,-0.008264462809917356,0.0
qwen,contrastive,gender,female,16.0,484,-0.06221560181005243,-0.013802900312311961,-0.07402299670689103,-0.012941786843184283,0.011807394896838611,0.0,-0.004132231404958678,0.0
qwen,contrastive,gender,female,18.0,484,-0.09166127048211015,-0.04468374887220253,-0.10720905097367803,-0.04008753667644027,0.015547780491567874,0.0,-0.002066115702479339,0.0
qwen,contrastive,gender,female,20.0,484,-0.11717252879361703,-0.07455212465034239,-0.13451989312197313,-0.07671623012391743,0.017347364328356065,0.0,-0.006198347107438017,0.0
qwen,contrastive,age,adult,0.0,482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen,contrastive,age,adult,2.0,482,-0.00047729590661849374,-7.500001197868755e-08,-0.00046632545668348933,-7.00000046260918e-08,-1.097044993500461e-05,0.0,0.002074688796680498,0.0
qwen,contrastive,age,adult,4.0,482,-0.0010268923943010115,-2.209999914626337e-06,-0.0005764522249882807,-2.0190247926876737e-06,-0.000450440169312731,0.0,0.004149377593360996,0.0
qwen,contrastive,age,adult,6.0,482,-0.0027106406542839225,-4.091000010081336e-05,-0.0025159848875260346,-3.60799996654837e-05,-0.0001946557667578822,0.0,0.002074688796680498,0.0
qwen,contrastive,age,adult,8.0,482,-0.01309152856876073,-0.0003992400143103536,-0.011081076042430318,-0.00031786500052422006,-0.002010452526330407,0.0,-0.002074688796680498,0.0
qwen,contrastive,age,adult,10.0,482,-0.02693313373284702,-0.002381025100755607,-0.022337380668245265,-0.0021120249092692056,-0.004595753064601756,0.0,0.0,0.0
qwen,contrastive,age,adult,12.0,482,-0.04297593526903463,-0.00914484940781879,-0.03660599984989002,-0.008082309552151168,-0.006369935419144609,0.0,-0.004149377593360996,0.0
qwen,contrastive,age,adult,14.0,482,-0.07573651096828199,-0.032153310688372516,-0.06786424174815632,-0.028487472135959868,-0.007872269220125648,0.0,-0.006224066390041493,0.0
qwen,contrastive,age,adult,16.0,482,-0.1255088857566729,-0.07577890464997511,-0.11133309645717152,-0.06071994592949964,-0.014175789299501399,0.0,0.02074688796680498,0.0
qwen,contrastive,age,adult,18.0,482,-0.18538558948990844,-0.13069369737074832,-0.1580792168305404,-0.11975477606788093,-0.02730637265936804,0.0,0.035269709543568464,0.0
qwen,contrastive,age,adult,20.0,482,-0.2533252173712449,-0.2136278914304882,-0.21552890950943746,-0.1929610951375253,-0.03779630786180745,0.0,0.07676348547717843,0.0
qwen,contrastive,age,older_adult,0.0,482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen,contrastive,age,older_adult,2.0,482,-0.010949279287057644,-2.2500001750636045e-08,-0.009426454985665135,-2.7499997307112167e-08,-0.0015228243013925094,0.0,-0.002074688796680498,0.0
qwen,contrastive,age,older_adult,4.0,482,-0.01818544768403792,-1.350000022881659e-07,-0.015246961092961208,-1.7000001834022171e-07,-0.002938486591076708,0.0,-0.002074688796680498,0.0
qwen,contrastive,age,older_adult,6.0,482,-0.024090206698700278,-1.0350000272663085e-06,-0.020167098446704057,-1.0350000272663085e-06,-0.003923108251996219,0.0,0.0,0.0
qwen,contrastive,age,older_adult,8.0,482,-0.029046465487832778,-1.1550000371562952e-05,-0.02592877714907272,-8.120000115019455e-06,-0.0031176883387600595,0.0,-0.004149377593360996,0.0
qwen,contrastive,age,older_adult,10.0,482,-0.030699432608930766,-2.995500074864932e-05,-0.027576612115697494,-3.893500053891996e-05,-0.003122820493233283,0.0,0.0,0.0
qwen,contrastive,age,older_adult,12.0,482,-0.033431098544824234,-0.00010712249777025673,-0.030904967788106964,-0.00011756499628906569,-0.0025261307567172805,0.0,-0.002074688796680498,0.0
qwen,contrastive,age,older_adult,14.0,482,-0.033935872449742235,-0.00028156211835611566,-0.03125180263443718,-0.0004289412029388484,-0.0026840698153050525,0.0,-0.004149377593360996,0.0
qwen,contrastive,age,older_adult,16.0,482,-0.024665078226249592,-0.00047169502148941556,-0.028594569007397888,-0.0007407135302411327,0.0039294907811483005,0.0,-0.01867219917012448,0.0
qwen,contrastive,age,older_adult,18.0,482,-0.00493900088513807,-0.0009275225001574572,-0.01753791399573079,-0.001363039965588092,0.01259891311059272,0.0,-0.03319502074688797,0.0
qwen,contrastive,age,older_adult,20.0,482,0.026908550754404018,-0.0010016150451838124,0.005417828027387604,-0.0012390274693962616,0.021490722727016413,0.0,-0.04979253112033195,0.0
qwen,contrastive,education,some schooling,0.0,486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen,contrastive,education,some schooling,2.0,486,-0.005774526928216154,7.499999593596485e-09,-0.00409325103068448,9.999999717180685e-09,-0.0016812758975316736,0.0,0.00205761316872428,0.0
qwen,contrastive,education,some schooling,4.0,486,-0.009378563775142287,0.0,-0.0057810913762317015,0.0,-0.0035974723989105855,0.0,0.006172839506172839,0.0
qwen,contrastive,education,some schooling,6.0,486,-0.012656202864546839,-1.9999999212316766e-08,-0.009414658744860211,-1.999999918456119e-08,-0.0032415441196866246,0.0,0.0102880658436214,0.0
qwen,contrastive,education,some schooling,8.0,486,-0.021088976593609175,-1.0524999988492656e-06,-0.01462955637743421,-1.6550000468962267e-06,-0.006459420216174962,0.0,0.00823045267489712,0.0
qwen,contrastive,education,some schooling,10.0,486,-0.03067777866712881,-4.661250013227036e-05,-0.02404716000098886,-5.187063660283542e-05,-0.00663061866613994,0.0,-0.00205761316872428,0.0
qwen,contrastive,education,some schooling,12.0,486,-0.052966245078235503,-0.0010940500372093043,-0.04378417705276786,-0.0018807175083038752,-0.009182068025467645,0.0,0.00823045267489712,0.0
qwen,contrastive,education,some schooling,14.0,486,-0.0914685783675395,-0.009993420102997613,-0.07382207493722498,-0.010585104466555861,-0.017646503430314524,0.0,0.03497942386831276,0.0
qwen,contrastive,education,some schooling,16.0,486,-0.1506090735557018,-0.07530793212985253,-0.11737486594914792,-0.07243891000733271,-0.033234207606553906,0.0,0.053497942386831275,0.0
qwen,contrastive,education,some schooling,18.0,486,-0.22047446195128226,-0.1815609229448154,-0.17595501115367487,-0.15231975243722906,-0.04451945079760737,-8.326672684688674e-17,0.08847736625514403,0.0
qwen,contrastive,education,some schooling,20.0,486,-0.27586873295729775,-0.2503706280470173,-0.21711425561173375,-0.20295744902803914,-0.058754477345564014,-0.00403331227240869,0.11419753086419752,0.0
qwen,contrastive,education,high school,0.0,486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen,contrastive,education,high school,2.0,486,0.008390633607349676,0.0,0.008454144790726563,0.0,-6.351118337688647e-05,0.0,0.00823045267489712,0.0
qwen,contrastive,education,high school,4.0,486,0.017281090734454368,-1.9999999323339068e-08,0.01620359821676364,-1.9999999267827917e-08,0.0010774925176907258,0.0,0.00205761316872428,0.0
qwen,contrastive,education,high school,6.0,486,0.025962717973132463,-7.749999578199329e-08,0.02458714462218825,-6.749999828525866e-08,0.0013755733509442116,0.0,0.00205761316872428,0.0
qwen,contrastive,education,high school,8.0,486,0.027851767233598862,-4.850000057121662e-07,0.02606793212960498,-5.749999737458822e-07,0.0017838351039938841,0.0,-0.00205761316872428,0.0
qwen,contrastive,education,high school,10.0,486,0.02384100309367713,-3.827499848341187e-06,0.021626295305498176,-4.03000024690181e-06,0.0022147077881789585,0.0,-0.00205761316872428,0.0
qwen,contrastive,education,high school,12.0,486,0.007585247034950635,-9.578498822510051e-05,0.005512717796558399,-9.877000254465695e-05,0.0020725292383922352,0.0,0.00823045267489712,0.0
qwen,contrastive,education,high school,14.0,486,-0.020952023000210204,-0.001701939979045275,-0.022805688966756346,-0.0019541925283516337,0.001853665966546142,0.0,-0.018518518518518517,0.0
qwen,contrastive,education,high school,16.0,486,-0.05845602647753071,-0.008231153464173468,-0.05558909351143869,-0.008783849356344534,-0.002866932966092016,0.0,0.01646090534979424,0.0
qwen,contrastive,education,high school,18.0,486,-0.06221428714388375,-0.014950718313414796,-0.04539213920942659,-0.009691834476484973,-0.01682214793445716,0.0,0.059670781893004114,0.0
qwen,contrastive,education,high school,20.0,486,-0.0021380355165164116,-0.0010484599685327278,0.02961457990359547,-0.00015476250434161287,-0.03175261542011188,-5.551115123125783e-17,0.10082304526748971,0.0
qwen,contrastive,education,college and more,0.0,486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen,contrastive,education,college and more,2.0,486,-0.004279373288693392,-3.900000596912534e-07,-0.006503926443617541,-3.900000596912534e-07,0.0022245531549241505,0.0,-0.00411522633744856,0.0
qwen,contrastive,education,college and more,4.0,486,-0.00991002395809874,-8.103585208862896e-06,-0.013949996113097662,-7.89358563668685e-06,0.00403997215499892,0.0,0.00411522633744856,0.0
qwen,contrastive,education,college and more,6.0,486,-0.012780841397581733,-6.472999847095817e-05,-0.018633359431355585,-6.683750274708022e-05,0.005852518033773854,0.0,0.00205761316872428,0.0
qwen,contrastive,education,college and more,8.0,486,-0.021195235137231344,-0.00045192005609540065,-0.02694267039739918,-0.00047839502710189663,0.005747435260167842,0.0,0.00205761316872428,0.0
qwen,contrastive,education,college and more,10.0,486,-0.03480254294521038,-0.0022698001835550485,-0.04293700931716724,-0.002269800183555104,0.008134466371956854,0.0,-0.00823045267489712,0.0
qwen,contrastive,education,college and more,12.0,486,-0.05113834156224841,-0.007795825232251363,-0.06249876549529258,-0.01088195511103529,0.011360423933044176,0.0,-0.01440329218106996,0.0
qwen,contrastive,education,college and more,14.0,486,-0.06716989528809675,-0.02357756808316913,-0.08015483921121791,-0.02643426416208583,0.012984943923121163,0.0,-0.012345679012345678,0.0
qwen,contrastive,education,college and more,16.0,486,-0.08762525132579746,-0.052652169770197765,-0.10030266947581651,-0.05340529364124111,0.012677418150019042,0.0,-0.00411522633744856,0.0
qwen,contrastive,education,college and more,18.0,486,-0.1111169667308761,-0.08964875171155967,-0.12565784360174911,-0.09184289975658663,0.01454087687087302,0.0,-0.00411522633744856,0.0
qwen,contrastive,education,college and more,20.0,486,-0.1370224837608225,-0.12155374453439009,-0.1563139140495697,-0.12869599442830604,0.0192914302887472,0.0,-0.01646090534979424,0.0
qwen,contrastive,socioeco,low,0.0,486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen,contrastive,socioeco,low,2.0,486,0.007000266929346124,0.0,0.007428555389770156,0.0,-0.00042828846042403226,0.0,0.0,0.0
qwen,contrastive,socioeco,low,4.0,486,0.01152464354514726,2.5000006231845617e-09,0.010948930255327853,2.5000006231845617e-09,0.0005757132898194068,0.0,-0.006172839506172839,0.0
qwen,contrastive,socioeco,low,6.0,486,0.015201893406966276,0.0,0.01325011033323782,0.0,0.001951783073728456,0.0,-0.00411522633744856,0.0
qwen,contrastive,socioeco,low,8.0,486,0.014851175528261222,0.0,0.014047637743021181,0.0,0.0008035377852400392,0.0,0.0,0.0
qwen,contrastive,socioeco,low,10.0,486,0.017052775122845736,-2.249999911385636e-08,0.016275473756144732,-4.249999763228374e-08,0.0007773013667010067,0.0,-0.006172839506172839,0.0
qwen,contrastive,socioeco,low,12.0,486,0.01796893109403232,-2.3500001677945193e-07,0.01819680168816187,-3.4500000854753576e-07,-0.00022787059412955046,0.0,0.00411522633744856,0.0
qwen,contrastive,socioeco,low,14.0,486,0.01500979522006259,-1.110000001053324e-06,0.01834295989068727,-1.3649998446552125e-06,-0.0033331646706246804,0.0,0.00411522633744856,0.0
qwen,contrastive,socioeco,low,16.0,486,0.01723478381507122,-2.4525000743014225e-06,0.023327257953638814,-3.1600006913934386e-06,-0.006092474138567595,0.0,0.00823045267489712,0.0
qwen,contrastive,socioeco,low,18.0,486,0.008234320352776691,-1.663249941948053e-05,0.018160399664614905,-2.0664999289793373e-05,-0.009926079311838212,0.0,0.0102880658436214,0.0
qwen,contrastive,socioeco,low,20.0,486,-0.013362941841382025,-0.0005641450087648381,0.0016460064780962338,-0.0005641450087647271,-0.015008948319478266,0.0,0.0102880658436214,0.0
qwen,contrastive,socioeco,high,0.0,486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen,contrastive,socioeco,high,2.0,486,0.002448359061651019,2.050000104114602e-07,0.0016471018515903453,1.4962310812549617e-07,0.0008012572100606749,0.0,-0.006172839506172839,0.0
qwen,contrastive,socioeco,high,4.0,486,0.0002383347512380378,2.5499999978251253e-07,0.0016482276476128402,2.5499999978251253e-07,-0.0014098928963748045,0.0,-0.00205761316872428,0.0
qwen,contrastive,socioeco,high,6.0,486,0.003647482915339996,2.699999987476609e-07,0.004588012925986443,3.1250000784299736e-07,-0.0009405300106464451,0.0,0.00205761316872428,0.0
qwen,contrastive,socioeco,high,8.0,486,0.006633931087938631,9.999999883714139e-09,0.009139482095782286,9.999999828202988e-09,-0.0025055510078436536,0.0,0.00205761316872428,0.0
qwen,contrastive,socioeco,high,10.0,486,0.002649289691403607,-1.4999999409237574e-08,0.004631449942496401,-9.999999883714139e-09,-0.001982160251092795,0.0,0.0,0.0
qwen,contrastive,socioeco,high,12.0,486,-0.005457277877345665,-2.5449999980775573e-06,-0.0050808265985043755,-3.0000088703241445e-06,-0.0003764512788412901,0.0,-0.006172839506172839,0.0
qwen,contrastive,socioeco,high,14.0,486,-0.02076662433664509,-8.370000253832277e-05,-0.0207630732083496,-9.309999889783871e-05,-3.551128295491186e-06,0.0,-0.006172839506172839,0.0
qwen,contrastive,socioeco,high,16.0,486,-0.034563953222100985,-0.0006173249687878024,-0.03645681392107928,-0.0008470900002182646,0.0018928606989782883,0.0,-0.018518518518518517,0.0
qwen,contrastive,socioeco,high,18.0,486,-0.05489425867291289,-0.004697745275131476,-0.056757654961885166,-0.004796330272453214,0.0018633962889722726,0.0,-0.01131687242798354,0.0
qwen,contrastive,socioeco,high,20.0,486,-0.07113498677551011,-0.015285139006859627,-0.07710949740807946,-0.018240985500232537,0.005974510632569347,0.0,-0.023662551440329218,0.0
llama,normal,gender,male,0.0,484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
llama,normal,gender,male,2.0,484,-0.011699232436224597,-0.01537213388560052,-0.03031071768582896,-0.027407998556461033,0.018611485249604365,0.0,-0.06198347107438017,0.0
llama,normal,gender,male,4.0,484,-0.02935104927783669,-0.015423335175699493,-0.049407987069886354,-0.025841851227139112,0.020056937792049666,0.0,-0.0640495867768595,0.0
llama,normal,gender,male,6.0,484,-0.009864042739461449,-0.00021141301738136775,-0.028746014985397805,-0.0007334785697590829,0.018881972245936355,0.0,-0.05578512396694215,0.0
llama,normal,gender,male,8.0,484,-0.011135873840628262,0.004602001907038772,-0.033321004104897765,-0.010473839400520268,0.022185130264269496,0.0,-0.08677685950413223,0.0
llama,normal,gender,male,10.0,484,-0.09810419156927053,-0.07162176638131294,-0.10257620102207528,-0.06610052429237012,0.0044720094528047415,0.0,-0.028925619834710745,0.0
llama,normal,gender,male,12.0,484,-0.146143964369076,-0.1083657451677554,-0.13114017218019608,-0.0976605478641426,-0.015003792188879905,0.0,0.02066115702479339,0.0
llama,normal,gender,male,14.0,484,-0.14146675544743434,-0.11915314857152431,-0.11755723798366273,-0.09332476821718226,-0.02390951746377159,0.0,0.03512396694214876,0.0
llama,normal,gender,male,16.0,484,-0.1316953985707782,-0.10559004351066265,-0.10403887473461874,-0.08167481263022838,-0.027656523836159443,0.0,0.05578512396694215,0.0
llama,normal,gender,male,18.0,484,-0.12724754998563872,-0.10562004417044232,-0.09987703238606419,-0.0799929399393289,-0.02737051759957454,0.0,0.05165289256198347,0.0
llama,normal,gender,male,20.0,484,-0.12629641556193116,-0.10070405107064537,-0.10002502400651028,-0.07898218025637613,-0.026271391555420884,0.0,0.0640495867768595,0.0
llama,normal,gender,female,0.0,484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
llama,normal,gender,female,2.0,484,0.07431497172998128,0.03522622487722574,0.0498867038918695,0.01974998206074971,0.02442826783811177,0.0,-0.047520661157024795,0.0
llama,normal,gender,female,4.0,484,0.10889208789107441,0.049184938817336016,0.07360054062522366,0.015356103464318704,0.03529154726585074,0.0,-0.07644628099173553,0.0
llama,normal,gender,female,6.0,484,0.05106934597457127,0.015252135956303058,0.011869263837976407,-0.024543423801930662,0.03920008213659487,0.0,-0.08057851239669421,0.0
llama,normal,gender,female,8.0,484,-0.050994095241026646,-0.03280797821046624,-0.08614788404096373,-0.08084886103122393,0.03515378879993707,0.0,-0.06611570247933884,0.0
