model,magnitude,summary_level,n,n_qkeys,mean_difference_delta_target,ci95_difference_delta_target,p_two_sided_delta_target,contrastive_better_rate_delta_target,mean_difference_delta_others,ci95_difference_delta_others,p_two_sided_delta_others,mean_difference_delta_specificity,ci95_difference_delta_specificity,p_two_sided_delta_specificity,contrastive_better_rate_delta_specificity,mean_difference_delta_nearest,ci95_difference_delta_nearest,p_two_sided_delta_nearest,contrastive_better_rate_delta_nearest,attribute,model_class
llama,14.0,class,486,486,-0.03535049200976281,0.012650359210093859,1.608368048950455e-09,0.6234567901234568,-0.04605039122174955,0.011813101033085447,1.987457910245863e-13,0.010699899211986738,0.008528756289092167,0.01779981902454899,0.3662551440329218,-0.012345679012345678,0.03125175737535635,0.4385780260809998,0.05555555555555555,education,college and more
llama,16.0,class,486,486,-0.025187537519788954,0.012001632955326094,1.6366489834226045e-06,0.5946502057613169,-0.03331232671611696,0.011298108955671205,1.7764156846012408e-08,0.008124789196328011,0.007747380003215846,0.08085069699035763,0.3950617283950617,-0.03292181069958848,0.03216343606949713,0.04550026389635839,0.04938271604938271,education,college and more
llama,18.0,class,486,486,-0.015538233502998999,0.011254920742588903,0.001995616627498965,0.5432098765432098,-0.022259575962511848,0.010431471762604137,3.650187297732493e-05,0.006721342459512848,0.007000936770723375,0.11689640600260748,0.4053497942386831,-0.026748971193415638,0.03195475189247619,0.1014538126142077,0.051440329218107,education,college and more
llama,20.0,class,486,486,-0.008521968972955303,0.010663713893955911,0.08359842414555695,0.5185185185185185,-0.013732392281699313,0.009628762233407275,0.005449187498512624,0.005210423308744004,0.0065156863862181795,0.0806683479616636,0.3991769547325103,-0.02263374485596708,0.030943882653484602,0.15212149388422935,0.04938271604938271,education,college and more
llama,0.0,class,486,486,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,socioeco,low
llama,2.0,class,486,486,-0.006740543092990205,0.00506784286092794,0.0014355390851898053,0.5720164609053497,-0.002111381509738099,0.004911392151715047,0.11989668694493444,-0.004629161583252109,0.003720544524822801,0.25649387838526394,0.3004115226337449,0.006172839506172839,0.017588634340090937,0.4912971242158931,0.02263374485596708,socioeco,low
llama,4.0,class,486,486,-0.008016049018145496,0.010680296631079497,0.18850119853682046,0.5205761316872428,-0.004002515092212782,0.010395876152123933,0.681696928531375,-0.004013533925932715,0.006259059508260387,0.41441628951364495,0.35185185185185186,-0.00411522633744856,0.02488352076008723,0.7456027889274615,0.037037037037037035,socioeco,low
llama,6.0,class,486,486,0.020109698913579166,0.013513087755030798,0.00016107974949725116,0.4279835390946502,0.015846888908624332,0.013916069120873566,0.0005635560643165085,0.004262810004954826,0.007174524171016359,0.39087672994089284,0.3271604938271605,-0.015432098765432098,0.031044641422014664,0.35992188469615705,0.053497942386831275,socioeco,low
llama,8.0,class,486,486,0.02362363033459236,0.0134415764936909,9.213160978747573e-07,0.38271604938271603,0.019970041703911014,0.013233846498395726,1.6335093859339377e-05,0.0036535886306813445,0.007437846851576664,0.5206565779756227,0.34156378600823045,-0.00205761316872428,0.03254744274638911,0.901287773180033,0.06584362139917696,socioeco,low
llama,10.0,class,486,486,0.024266864246321063,0.014545670694702983,1.8471072092754338e-07,0.3374485596707819,0.03498873290881718,0.015481254914654618,6.583115389210365e-10,-0.010721868662496114,0.008179338625184445,0.20879271696880586,0.345679012345679,-0.0102880658436214,0.028815955371954173,0.4838398513935682,0.047325102880658436,socioeco,low
llama,12.0,class,486,486,0.061915727930855646,0.020946046698075683,7.621801188440761e-16,0.2613168724279835,0.07165360519152857,0.022043959969662213,3.9679110042491735e-16,-0.009737877260672899,0.012507928790754786,0.7551885776217038,0.3395061728395062,-0.01748971193415638,0.032069068816520975,0.25844784187809067,0.05761316872427984,socioeco,low
llama,14.0,class,486,486,0.09744735181115893,0.022823724930472824,1.1387997818803562e-24,0.24897119341563786,0.1035193035982989,0.02239972877165694,3.4905134943427846e-24,-0.00607195178713997,0.013899847020042025,0.6232186120034127,0.3292181069958848,-0.018518518518518517,0.0367425789979722,0.32321223462230786,0.07613168724279835,socioeco,low
llama,16.0,class,486,486,0.09885069770500339,0.01980774213245881,1.5161489431927252e-28,0.2716049382716049,0.1036720586555179,0.01912458165549748,4.774399698134428e-30,-0.004821360950514514,0.010989386281546627,0.3479182144997415,0.3497942386831276,-0.00411522633744856,0.03472632091230244,0.8161533547581272,0.07407407407407407,socioeco,low
llama,18.0,class,486,486,0.07121890533132684,0.01626335551060518,1.2388019879851205e-16,0.38477366255144035,0.07611733319958268,0.015984286169972866,3.591769667085219e-19,-0.004898427868255837,0.007997153954920556,0.5009551073896108,0.32098765432098764,0.00205761316872428,0.0315300500497872,0.898119787253741,0.06378600823045268,socioeco,low
