attribute,group_a,group_b,channel,magnitude,regime,quartile,n_questions,n_predictions,mean_human_gap,strict_accuracy,strict_accuracy_ci95_low,strict_accuracy_ci95_high,tie_aware_accuracy,fractional_accuracy,chance_accuracy,lift_over_chance,lift_ci95_low,lift_ci95_high,bootstrap_p_lift_le_zero
education,Less than high school,College graduate/some postgrad,steered,20.0,Steered N=20,Q4,122,244,0.5098170094858034,0.4057377049180328,0.35655737704918034,0.45491803278688525,0.4057377049180328,0.4057377049180328,0.3333333333333333,0.07240437158469948,0.02322404371584702,0.12158469945355194,0.0034982508745627187
education,High school graduate,College graduate/some postgrad,declared,,Declared,All,486,972,0.17017613626227454,0.32510288065843623,0.2993827160493827,0.3508230452674897,0.32510288065843623,0.32510288065843623,0.3333333333333333,-0.008230452674897082,-0.0339506172839506,0.017489711934156382,0.743128435782109
education,High school graduate,College graduate/some postgrad,declared,,Declared,Q1,121,242,0.048746712886811996,0.2809917355371901,0.23140495867768596,0.3347107438016529,0.2809917355371901,0.2809917355371901,0.3333333333333333,-0.052341597796143224,-0.10192837465564736,0.0013774104683195731,0.9705147426286856
education,High school graduate,College graduate/some postgrad,declared,,Declared,Q2,122,244,0.10797407847401763,0.28688524590163933,0.2336065573770492,0.3402663934426224,0.28688524590163933,0.28688524590163933,0.3333333333333333,-0.046448087431693985,-0.09972677595628412,0.006933060109289066,0.9545227386306847
education,High school graduate,College graduate/some postgrad,declared,,Declared,Q3,121,242,0.18585507629900233,0.34710743801652894,0.29338842975206614,0.39669421487603307,0.34710743801652894,0.34710743801652894,0.3333333333333333,0.01377410468319562,-0.03994490358126718,0.06336088154269975,0.2908545727136432
education,High school graduate,College graduate/some postgrad,declared,,Declared,Q4,122,244,0.3372618701487849,0.38524590163934425,0.3401639344262295,0.4344262295081967,0.38524590163934425,0.38524590163934425,0.3333333333333333,0.05191256830601093,0.0068306010928961824,0.10109289617486339,0.018490754622688656
education,High school graduate,College graduate/some postgrad,steered,0.0,Neutral (N=0),All,486,972,0.17017613626227454,0.2962962962962963,0.27469135802469136,0.31790123456790126,0.2962962962962963,0.2962962962962963,0.3333333333333333,-0.037037037037037035,-0.05864197530864196,-0.015432098765432056,1.0
education,High school graduate,College graduate/some postgrad,steered,0.0,Neutral (N=0),Q1,121,242,0.048746712886811996,0.24380165289256198,0.2024793388429752,0.28512396694214875,0.24380165289256198,0.24380165289256198,0.3333333333333333,-0.08953168044077134,-0.13085399449035812,-0.04820936639118456,1.0
education,High school graduate,College graduate/some postgrad,steered,0.0,Neutral (N=0),Q2,122,244,0.10797407847401763,0.28688524590163933,0.24180327868852458,0.3319672131147541,0.28688524590163933,0.28688524590163933,0.3333333333333333,-0.046448087431693985,-0.09153005464480873,-0.0013661202185792365,0.9790104947526237
education,High school graduate,College graduate/some postgrad,steered,0.0,Neutral (N=0),Q3,121,242,0.18585507629900233,0.3140495867768595,0.26859504132231404,0.35537190082644626,0.3140495867768595,0.3140495867768595,0.3333333333333333,-0.019283746556473802,-0.06473829201101927,0.02203856749311295,0.8125937031484258
education,High school graduate,College graduate/some postgrad,steered,0.0,Neutral (N=0),Q4,122,244,0.3372618701487849,0.3401639344262295,0.29508196721311475,0.38114754098360654,0.3401639344262295,0.3401639344262295,0.3333333333333333,0.0068306010928961824,-0.038251366120218566,0.04781420765027322,0.38330834582708645
education,High school graduate,College graduate/some postgrad,steered,2.0,Steered N=2,All,486,972,0.17017613626227454,0.2962962962962963,0.2716049382716049,0.3220164609053498,0.2962962962962963,0.2962962962962963,0.3333333333333333,-0.037037037037037035,-0.06172839506172839,-0.011316872427983515,0.9975012493753124
education,High school graduate,College graduate/some postgrad,steered,2.0,Steered N=2,Q1,121,242,0.048746712886811996,0.2396694214876033,0.19008264462809918,0.2892561983471074,0.2396694214876033,0.2396694214876033,0.3333333333333333,-0.09366391184573,-0.14325068870523414,-0.0440771349862259,1.0
education,High school graduate,College graduate/some postgrad,steered,2.0,Steered N=2,Q2,122,244,0.10797407847401763,0.30327868852459017,0.25,0.3525614754098355,0.30327868852459017,0.30327868852459017,0.3333333333333333,-0.030054644808743147,-0.08333333333333331,0.019228142076502194,0.8765617191404298
education,High school graduate,College graduate/some postgrad,steered,2.0,Steered N=2,Q3,121,242,0.18585507629900233,0.28512396694214875,0.23553719008264462,0.3305785123966942,0.28512396694214875,0.28512396694214875,0.3333333333333333,-0.04820936639118456,-0.0977961432506887,-0.0027548209366390908,0.9775112443778111
education,High school graduate,College graduate/some postgrad,steered,2.0,Steered N=2,Q4,122,244,0.3372618701487849,0.35655737704918034,0.30327868852459017,0.4098360655737705,0.35655737704918034,0.35655737704918034,0.3333333333333333,0.02322404371584702,-0.030054644808743147,0.07650273224043719,0.18990504747626186
education,High school graduate,College graduate/some postgrad,steered,4.0,Steered N=4,All,486,972,0.17017613626227454,0.29732510288065844,0.2705761316872428,0.3230452674897119,0.29732510288065844,0.29732510288065844,0.3333333333333333,-0.03600823045267487,-0.0627572016460905,-0.010288065843621408,0.9995002498750625
