attribute,channel,layer,validation_accuracy,balanced_accuracy,macro_f1,validation_loss,majority_baseline,accuracy_over_baseline,best_epoch,train_examples,validation_examples,checkpoint
socioeconomic,controlling,16,0.8816666666666667,0.8816666666666667,0.8811580354751162,0.2578725318113963,0.3333333333333333,0.5483333333333333,49,2400,600,socioeconomic_probe_at_layer_16.pth
socioeconomic,controlling,17,0.885,0.8849999999999999,0.8849047887061907,0.2491802622874578,0.3333333333333333,0.5516666666666667,47,2400,600,socioeconomic_probe_at_layer_17.pth
socioeconomic,controlling,18,0.885,0.8849999999999999,0.8847810347416957,0.24046018222967783,0.3333333333333333,0.5516666666666667,48,2400,600,socioeconomic_probe_at_layer_18.pth
socioeconomic,controlling,19,0.9016666666666666,0.9016666666666667,0.9009151553053991,0.22105984886487326,0.3333333333333333,0.5683333333333334,47,2400,600,socioeconomic_probe_at_layer_19.pth
socioeconomic,controlling,20,0.9116666666666666,0.9116666666666666,0.9118770956938896,0.20230806370576224,0.3333333333333333,0.5783333333333334,50,2400,600,socioeconomic_probe_at_layer_20.pth
socioeconomic,controlling,21,0.925,0.9249999999999999,0.9251557846655576,0.17904724180698395,0.3333333333333333,0.5916666666666668,50,2400,600,socioeconomic_probe_at_layer_21.pth
socioeconomic,controlling,22,0.9283333333333333,0.9283333333333333,0.9284698129916134,0.1765852520863215,0.3333333333333333,0.595,46,2400,600,socioeconomic_probe_at_layer_22.pth
socioeconomic,controlling,23,0.93,0.93,0.9303446234956,0.1726812869310379,0.3333333333333333,0.5966666666666667,43,2400,600,socioeconomic_probe_at_layer_23.pth
socioeconomic,controlling,24,0.93,0.93,0.9304082032930855,0.1604068030913671,0.3333333333333333,0.5966666666666667,48,2400,600,socioeconomic_probe_at_layer_24.pth
socioeconomic,controlling,25,0.9383333333333334,0.9383333333333334,0.9385063097827874,0.15437253067890802,0.3333333333333333,0.605,46,2400,600,socioeconomic_probe_at_layer_25.pth
socioeconomic,controlling,26,0.9366666666666666,0.9366666666666666,0.9368655404870965,0.1444859430193901,0.3333333333333333,0.6033333333333333,50,2400,600,socioeconomic_probe_at_layer_26.pth
socioeconomic,controlling,27,0.94,0.9400000000000001,0.940191078295393,0.13995136320590973,0.3333333333333333,0.6066666666666667,49,2400,600,socioeconomic_probe_at_layer_27.pth
socioeconomic,controlling,28,0.9466666666666667,0.9466666666666667,0.9468987539749079,0.14165861159563065,0.3333333333333333,0.6133333333333333,45,2400,600,socioeconomic_probe_at_layer_28.pth
socioeconomic,controlling,29,0.9466666666666667,0.9466666666666667,0.9470070379776022,0.13181095818678537,0.3333333333333333,0.6133333333333333,48,2400,600,socioeconomic_probe_at_layer_29.pth
socioeconomic,controlling,30,0.9483333333333334,0.9483333333333333,0.9486216710969891,0.12512491146723428,0.3333333333333333,0.615,44,2400,600,socioeconomic_probe_at_layer_30.pth
socioeconomic,controlling,31,0.9466666666666667,0.9466666666666667,0.9470372743252345,0.11889431377251942,0.3333333333333333,0.6133333333333333,50,2400,600,socioeconomic_probe_at_layer_31.pth
socioeconomic,controlling,32,0.9616666666666667,0.9616666666666666,0.9618585971128449,0.10332723955313365,0.3333333333333333,0.6283333333333334,50,2400,600,socioeconomic_probe_at_layer_32.pth
