qkey,attribute,group_a,group_b,human_gap,quartile,channel,magnitude,regime,target_human_group,expected_model_class,competitor_model_class,distance_own_profile,distance_competitor_profile,difference
WORRYF_W26,socioeco,"Less than $30,000","$100,000 or more",0.36198761999999995,Q4,inferred,,Inferred from occupation,"Less than $30,000",low,high,0.5955131318478717,0.5435906036469753,0.05192252820089638
BOYSF1B_W29,socioeco,"Less than $30,000","$100,000 or more",0.031561885,Q1,inferred,,Inferred from occupation,"Less than $30,000",low,high,0.32878373649684145,0.3426385047245131,-0.013854768227671677
FAVORS_CPS_W29,socioeco,"Less than $30,000","$100,000 or more",0.31190621735643553,Q4,inferred,,Inferred from occupation,"Less than $30,000",low,high,0.7743993269821412,0.9949333755674057,-0.22053404858526449
FEM2_W29,socioeco,"Less than $30,000","$100,000 or more",0.19331657225602072,Q3,inferred,,Inferred from occupation,"Less than $30,000",low,high,0.42035445558559903,0.4996824013063759,-0.0793279457207769
GIRLSF2C_W29,socioeco,"Less than $30,000","$100,000 or more",0.027267642373446355,Q1,inferred,,Inferred from occupation,"Less than $30,000",low,high,0.27788435200538775,0.27750054098461874,0.0003838110207690093
GIRLSF2D_W29,socioeco,"Less than $30,000","$100,000 or more",0.061267082577475304,Q1,inferred,,Inferred from occupation,"Less than $30,000",low,high,0.2577238735770495,0.2577259255775185,-2.0520004689883464e-06
GOPDIRCT_W29,socioeco,"Less than $30,000","$100,000 or more",0.5194614385676164,Q4,inferred,,Inferred from occupation,"Less than $30,000",low,high,0.7014743246235331,0.5330339204921141,0.16844040413141903
HOOD_NHISB_W29,socioeco,"Less than $30,000","$100,000 or more",0.5343234026814261,Q4,inferred,,Inferred from occupation,"Less than $30,000",low,high,0.6464683974717207,0.6350931174980881,0.011375279973632635
LOCALELECT_W29,socioeco,"Less than $30,000","$100,000 or more",0.6755055936824541,Q4,inferred,,Inferred from occupation,"Less than $30,000",low,high,1.147550856620283,1.1410335283448256,0.006517328275457368
MAN1A_W29,socioeco,"Less than $30,000","$100,000 or more",0.22436507000000003,Q3,inferred,,Inferred from occupation,"Less than $30,000",low,high,0.6244467301250688,0.4492298540692543,0.17521687605581449
MAN1B_W29,socioeco,"Less than $30,000","$100,000 or more",0.3650245300000001,Q4,inferred,,Inferred from occupation,"Less than $30,000",low,high,0.7677549969689437,0.46746072787683907,0.3002942690921046
MAN1C_W29,socioeco,"Less than $30,000","$100,000 or more",0.4201561955037122,Q4,inferred,,Inferred from occupation,"Less than $30,000",low,high,0.7440452657539983,0.7540325581244435,-0.009987292370445155
MAN1D_W29,socioeco,"Less than $30,000","$100,000 or more",0.2853261599999997,Q4,inferred,,Inferred from occupation,"Less than $30,000",low,high,0.9320748460404948,0.9333274699999744,-0.0012526239594795596
MAN1E_W29,socioeco,"Less than $30,000","$100,000 or more",0.25829197498133877,Q3,inferred,,Inferred from occupation,"Less than $30,000",low,high,0.4526088470848295,0.2973994082261486,0.15520943885868094
MASC2_W29,socioeco,"Less than $30,000","$100,000 or more",0.12110675999999998,Q2,inferred,,Inferred from occupation,"Less than $30,000",low,high,0.6691927266816607,0.4071767766474088,0.26201595003425193
S12_W29,socioeco,"Less than $30,000","$100,000 or more",0.7723084465021626,Q4,inferred,,Inferred from occupation,"Less than $30,000",low,high,1.0630342176636547,1.0161175025061577,0.04691671515749696
S13_W29,socioeco,"Less than $30,000","$100,000 or more",0.2964937452964356,Q4,inferred,,Inferred from occupation,"Less than $30,000",low,high,0.8136696779169931,0.8101491239107074,0.0035205540062857033
SEENFEM_W29,socioeco,"Less than $30,000","$100,000 or more",0.18776166,Q3,inferred,,Inferred from occupation,"Less than $30,000",low,high,0.91755148,0.9182989500016706,-0.0007474700016706359
SEENMASC_W29,socioeco,"Less than $30,000","$100,000 or more",0.0751844752174334,Q1,inferred,,Inferred from occupation,"Less than $30,000",low,high,0.7509477964599534,0.7511805544869213,-0.00023275802696798298
TALK_CPS_W29,socioeco,"Less than $30,000","$100,000 or more",0.38025178000000004,Q4,inferred,,Inferred from occupation,"Less than $30,000",low,high,0.8784096564450637,0.33855459635963814,0.5398550600854256
WORRYBILL_W29,socioeco,"Less than $30,000","$100,000 or more",1.1275066616620635,Q4,inferred,,Inferred from occupation,"Less than $30,000",low,high,0.7782509528854291,0.795269170136294,-0.01701821725086483
CLASS_W32,socioeco,"Less than $30,000","$100,000 or more",1.1672827040469576,Q4,inferred,,Inferred from occupation,"Less than $30,000",low,high,0.9182839408184159,0.9053285488687467,0.012955391949669215
COMMIMPA_W32,socioeco,"Less than $30,000","$100,000 or more",0.09287370789168559,Q2,inferred,,Inferred from occupation,"Less than $30,000",low,high,0.6675699266803633,1.1644344639430126,-0.49686453726264934
COMMIMPB_W32,socioeco,"Less than $30,000","$100,000 or more",0.026607140000000085,Q1,inferred,,Inferred from occupation,"Less than $30,000",low,high,0.6430155159964656,0.6431167459994002,-0.00010123000293460471
