qkey,attribute,channel,magnitude,regime,model_class,own_human_group,distance_own,mean_distance_others,specificity_margin
GAP21Q19_b_W82,gender,steered,12.0,Steered N=12,female,Female,0.4818734893179126,0.47005359529946406,0.011819894018448518
GAP21Q19_b_W82,gender,steered,14.0,Steered N=14,female,Female,0.48401571351754874,0.47139836106810984,0.012617352449438901
GAP21Q19_b_W82,gender,steered,16.0,Steered N=16,female,Female,0.485884639277801,0.4712685052873149,0.014616133990486113
GAP21Q19_b_W82,gender,steered,18.0,Steered N=18,female,Female,0.48735123368432476,0.4814979415730889,0.005853292111235864
GAP21Q19_b_W82,gender,steered,20.0,Steered N=20,female,Female,0.48955437379448175,0.48290984164368367,0.006644532150798077
GAP21Q19_b_W82,age,declared,,Declared,adult,30-49,0.6171055900024753,0.6150633997862153,0.0020421902162600647
GAP21Q19_b_W82,age,steered,0.0,Neutral (N=0),adult,30-49,0.61715496,0.61511276978374,0.0020421902162600647
GAP21Q19_b_W82,age,steered,2.0,Steered N=2,adult,30-49,0.5956983986513702,0.8465152693497315,-0.25081687069836134
GAP21Q19_b_W82,age,steered,4.0,Steered N=4,adult,30-49,0.48986861637710627,0.7406854870754676,-0.2508168706983613
GAP21Q19_b_W82,age,steered,6.0,Steered N=6,adult,30-49,0.44560769228196967,0.696424562980331,-0.2508168706983613
GAP21Q19_b_W82,age,steered,8.0,Steered N=8,adult,30-49,0.4261663104377785,0.6769831811361398,-0.2508168706983613
GAP21Q19_b_W82,age,steered,10.0,Steered N=10,adult,30-49,0.4145665459146741,0.6653834166130354,-0.2508168706983612
GAP21Q19_b_W82,age,steered,12.0,Steered N=12,adult,30-49,0.40418349373545504,0.6550003644338163,-0.2508168706983612
GAP21Q19_b_W82,age,steered,14.0,Steered N=14,adult,30-49,0.3976723736052327,0.648489244303594,-0.2508168706983613
GAP21Q19_b_W82,age,steered,16.0,Steered N=16,adult,30-49,0.39477871354735955,0.6455955842457208,-0.2508168706983613
GAP21Q19_b_W82,age,steered,18.0,Steered N=18,adult,30-49,0.387984374882791,0.6388012455811523,-0.2508168706983612
GAP21Q19_b_W82,age,steered,20.0,Steered N=20,adult,30-49,0.38536926335917043,0.6361861340575317,-0.2508168706983612
GAP21Q19_b_W82,age,declared,,Declared,older_adult,65+,0.6145560897778417,0.6165982799941018,-0.0020421902162600647
GAP21Q19_b_W82,age,steered,0.0,Neutral (N=0),older_adult,65+,0.61511276978374,0.61715496,-0.0020421902162600647
GAP21Q19_b_W82,age,steered,2.0,Steered N=2,older_adult,65+,0.9516146303661016,0.7007977596677404,0.2508168706983612
GAP21Q19_b_W82,age,steered,4.0,Steered N=4,older_adult,65+,1.0359840106983613,0.78516714,0.25081687069836134
GAP21Q19_b_W82,age,steered,6.0,Steered N=6,older_adult,65+,1.0625718847549184,0.8117550140565573,0.2508168706983611
