attribute,channel,magnitude,regime,model_class,n,mean_margin,ci95,median_margin,fraction_negative
education,steered,10.0,Steered N=10,some schooling,486,-0.032995160095966695,0.014566187640227223,-0.032969350012175894,0.6152263374485597
education,steered,12.0,Steered N=12,some schooling,486,-0.03298920198196124,0.014546914563105284,-0.03092799831087846,0.6152263374485597
education,steered,14.0,Steered N=14,some schooling,486,-0.032922209062247396,0.01454356211659124,-0.0332778149262315,0.6172839506172839
education,steered,16.0,Steered N=16,some schooling,486,-0.03303949670069604,0.014545845284513501,-0.03363074960587563,0.6152263374485597
education,steered,18.0,Steered N=18,some schooling,486,-0.03270563529292092,0.01452778490174511,-0.03387755540883816,0.6172839506172839
education,steered,20.0,Steered N=20,some schooling,486,-0.03271534110523878,0.014528614499057292,-0.03337964810625138,0.6193415637860082
education,declared,,Declared,high school,486,0.01586630835742997,0.008877068056510624,0.009619765000000002,0.448559670781893
education,steered,0.0,Neutral (N=0),high school,486,0.014937775949433985,0.009052153362502214,0.010493636129733502,0.4403292181069959
education,steered,2.0,Steered N=2,high school,486,-0.03140234810133849,0.010673553436205374,-0.026992825445318835,0.6111111111111112
education,steered,4.0,Steered N=4,high school,486,-0.030870584561484393,0.010732280207120259,-0.025884248950908767,0.5987654320987654
education,steered,6.0,Steered N=6,high school,486,-0.030790733389500315,0.01071672410566169,-0.025523508764424413,0.6008230452674898
education,steered,8.0,Steered N=8,high school,486,-0.03074972435496862,0.010715357173049068,-0.025513098939018014,0.6008230452674898
education,steered,10.0,Steered N=10,high school,486,-0.0307258150372727,0.010705342904341992,-0.025513098939018097,0.5987654320987654
education,steered,12.0,Steered N=12,high school,486,-0.03072755554652184,0.010708826269395233,-0.025513098939018014,0.602880658436214
education,steered,14.0,Steered N=14,high school,486,-0.03069053896898701,0.010711558601463026,-0.024754239304077608,0.6008230452674898
education,steered,16.0,Steered N=16,high school,486,-0.03060086080763876,0.010711870891270748,-0.02377977281507232,0.6008230452674898
education,steered,18.0,Steered N=18,high school,486,-0.03058319566934429,0.01070569657067535,-0.02365002250892173,0.5987654320987654
education,steered,20.0,Steered N=20,high school,486,-0.030545469255551523,0.010707250216162239,-0.023881214145140606,0.5987654320987654
education,declared,,Declared,college and more,486,-0.07413833473064135,0.014156217274422983,-0.07378960921059546,0.7181069958847737
education,steered,0.0,Neutral (N=0),college and more,486,-0.06696462837355587,0.014308644868004837,-0.06480266755396058,0.7078189300411523
education,steered,2.0,Steered N=2,college and more,486,0.025191101040756763,0.016038183611768047,0.018263519235890854,0.4403292181069959
education,steered,4.0,Steered N=4,college and more,486,0.03886176842364868,0.01553028683149616,0.028705589786195945,0.38271604938271603
education,steered,6.0,Steered N=6,college and more,486,0.04220867947140891,0.01544659973672686,0.035502332349764604,0.3662551440329218
education,steered,8.0,Steered N=8,college and more,486,0.04367262348655835,0.015426793662779043,0.035580702872381464,0.35802469135802467
education,steered,10.0,Steered N=10,college and more,486,0.044422544479246553,0.015397400695300312,0.03673425500000002,0.35390946502057613
education,steered,12.0,Steered N=12,college and more,486,0.045157529488811965,0.015405088817286467,0.03548749822387119,0.3559670781893004
education,steered,14.0,Steered N=14,college and more,486,0.045588614207581535,0.015408562568186044,0.03691954667316616,0.3497942386831276
education,steered,16.0,Steered N=16,college and more,486,0.04591533672794313,0.015400799646104624,0.03641762137377977,0.3477366255144033
education,steered,18.0,Steered N=18,college and more,486,0.04606694488070171,0.015404297511178928,0.036324534896086086,0.3497942386831276
education,steered,20.0,Steered N=20,college and more,486,0.046303080131816686,0.01539996687606236,0.037006928137449546,0.34156378600823045
socioeco,declared,,Declared,low,486,-0.021333884421501182,0.019611146591012072,0.00692921996692758,0.4773662551440329
socioeco,steered,0.0,Neutral (N=0),low,486,0.029374659809004104,0.015995028111042316,0.029549534095091506,0.4053497942386831
socioeco,steered,2.0,Steered N=2,low,486,-0.04564316365467393,0.01624903932161789,-0.031689293392723944,0.6337448559670782
socioeco,steered,4.0,Steered N=4,low,486,-0.050085657561017294,0.016023100301500035,-0.03766520249999998,0.6296296296296297
socioeco,steered,6.0,Steered N=6,low,486,-0.05077453168405189,0.015902111828184164,-0.04083775694322424,0.6522633744855967
socioeco,steered,8.0,Steered N=8,low,486,-0.05062943348854541,0.01571001502193338,-0.03912917273065619,0.6522633744855967
socioeco,steered,10.0,Steered N=10,low,486,-0.050864904397911775,0.015627594735825687,-0.03951144913431154,0.6481481481481481
socioeco,steered,12.0,Steered N=12,low,486,-0.05094230025489201,0.015581306971540367,-0.03987345379824557,0.6522633744855967
socioeco,steered,14.0,Steered N=14,low,486,-0.05082958265511765,0.015539485920957705,-0.04002224165568967,0.654320987654321
socioeco,steered,16.0,Steered N=16,low,486,-0.050504079540814296,0.015501195363330464,-0.03938750587504425,0.6625514403292181
socioeco,steered,18.0,Steered N=18,low,486,-0.05055069760007789,0.015480520136565411,-0.04062104427317591,0.6604938271604939
socioeco,steered,20.0,Steered N=20,low,486,-0.05058859520909905,0.015500932789676505,-0.040946934449148,0.6604938271604939
socioeco,declared,,Declared,high,486,-0.06132696981918266,0.020061905824924543,-0.036198259999999954,0.6234567901234568
socioeco,steered,0.0,Neutral (N=0),high,486,-0.029374659809004104,0.015995028111042316,-0.029549534095091506,0.5946502057613169
socioeco,steered,2.0,Steered N=2,high,486,0.044551682877598274,0.017137622708521025,0.03146352216804629,0.37037037037037035
socioeco,steered,4.0,Steered N=4,high,486,0.03997562199772001,0.01741140409848311,0.03475298366139862,0.37037037037037035
socioeco,steered,6.0,Steered N=6,high,486,0.03715601274022202,0.017600822169679144,0.036573751304395705,0.36419753086419754
socioeco,steered,8.0,Steered N=8,high,486,0.03564908172369074,0.017737596113804453,0.038996220205666066,0.36213991769547327
socioeco,steered,10.0,Steered N=10,high,486,0.03492438567456968,0.017812578489180924,0.03878862619228976,0.3662551440329218
socioeco,steered,12.0,Steered N=12,high,486,0.034367638748563814,0.01785023280693374,0.03775635955048098,0.3662551440329218
socioeco,steered,14.0,Steered N=14,high,486,0.03402306602777291,0.017885223829587966,0.03655157690137559,0.3683127572016461
socioeco,steered,16.0,Steered N=16,high,486,0.0337934142262841,0.0179299322421892,0.0367779325,0.3683127572016461
socioeco,steered,18.0,Steered N=18,high,486,0.03348809661406987,0.01794163136064083,0.03588034499999995,0.37037037037037035
socioeco,steered,20.0,Steered N=20,high,486,0.03336012097675661,0.01796485408533461,0.03588034499999998,0.3724279835390947
