position,attribute,layer,n,mean_activation_strength,mean_normalized_confidence,socioeco_accuracy
after_occupation,education,19,10,0.43831099700000004,0.625540663,
after_occupation,education,20,10,0.499520879,0.666347253,
after_occupation,education,21,10,0.5813662079999999,0.720910806,
after_occupation,education,22,10,0.397945008,0.598630004,
after_occupation,education,23,10,0.33765439500000005,0.5584362629999999,
after_occupation,education,24,10,0.9383246599999999,0.9588831050000002,
after_occupation,education,25,10,0.12460573999999999,0.416403828,
after_occupation,education,26,10,0.330919662,0.55394644,
after_occupation,education,27,10,0.7866345559999999,0.857756371,
after_occupation,education,28,10,0.047135739999999995,0.36475716,
after_occupation,gender,0,10,0.0028431400000000005,0.5014215699999999,
after_occupation,gender,1,10,0.270168293,0.635084146,
after_occupation,gender,2,10,0.10975095000000001,0.554875475,
after_occupation,gender,3,10,0.314809455,0.657404725,
after_occupation,gender,4,10,0.29762314500000003,0.6488115749999999,
after_occupation,gender,5,10,0.6982972740000001,0.849148639,
after_occupation,gender,6,10,0.45207464899999994,0.7260373250000002,
after_occupation,gender,7,10,0.832205593,0.916102798,
after_occupation,gender,8,10,0.312603902,0.656301952,
after_occupation,gender,9,10,0.495649505,0.7478247530000001,
after_occupation,gender,10,10,0.5892368800000001,0.794618439,
after_occupation,gender,11,10,0.648875188,0.824437595,
after_occupation,gender,12,10,0.36143397,0.680716986,
after_occupation,gender,13,10,0.348235368,0.6741176839999999,
after_occupation,gender,14,10,0.9540333389999999,0.977016669,
after_occupation,gender,15,10,0.6776930569999999,0.8388465289999999,
after_occupation,gender,16,10,0.433658721,0.7168293589999999,
after_occupation,gender,17,10,0.712854148,0.856427074,
after_occupation,gender,18,10,0.204326116,0.6021630590000001,
after_occupation,gender,19,10,0.418506049,0.7092530260000001,
after_occupation,gender,20,10,0.758198785,0.879099394,
after_occupation,gender,21,10,0.488035761,0.744017883,
after_occupation,gender,22,10,0.5106666790000001,0.7553333409999999,
after_occupation,gender,23,10,0.9843301180000001,0.9921650580000001,
after_occupation,gender,24,10,0.88503344,0.9425167200000001,
after_occupation,gender,25,10,0.714406658,0.8572033300000002,
after_occupation,gender,26,10,0.4910435329999999,0.7455217649999999,
after_occupation,gender,27,10,0.39940054399999997,0.6997002729999999,
after_occupation,gender,28,10,0.875351406,0.9376757009999999,
after_occupation,socioeco,0,10,0.0035950699999999997,0.33573005,0.0
after_occupation,socioeco,1,10,0.15661952,0.43774634599999995,0.6
after_occupation,socioeco,2,10,0.287259523,0.524839681,0.4
after_occupation,socioeco,3,10,0.158147858,0.43876523800000006,0.1
after_occupation,socioeco,4,10,0.16952271000000002,0.446348473,0.2
after_occupation,socioeco,5,10,0.24155316,0.494368773,0.5
after_occupation,socioeco,6,10,0.30517759799999994,0.536785066,0.5
after_occupation,socioeco,7,10,0.36217635400000003,0.574784237,0.0
after_occupation,socioeco,8,10,0.540294346,0.6935295649999998,0.5
after_occupation,socioeco,9,10,0.43050904599999995,0.620339364,0.0
after_occupation,socioeco,10,10,0.17703809799999998,0.451358733,0.1
after_occupation,socioeco,11,10,0.32568659999999994,0.550457733,0.1
after_occupation,socioeco,12,10,0.32262261500000006,0.5484150750000001,0.3
after_occupation,socioeco,13,10,0.43730992,0.6248732800000001,0.5
after_occupation,socioeco,14,10,0.46111051999999997,0.6407403469999999,0.4
after_occupation,socioeco,15,10,0.59973883,0.73315922,0.4
after_occupation,socioeco,16,10,0.518226061,0.678817373,0.6
after_occupation,socioeco,17,10,0.35338592700000004,0.568923949,0.5
after_occupation,socioeco,18,10,0.802419802,0.86827987,0.4
after_occupation,socioeco,19,10,0.587300087,0.7248667240000001,0.0
after_occupation,socioeco,20,10,0.244126829,0.49608455300000004,0.6
after_occupation,socioeco,21,10,0.279579829,0.519719887,0.5
after_occupation,socioeco,22,10,0.462850836,0.6419005569999999,0.6
after_occupation,socioeco,23,10,0.599450449,0.7329669649999999,0.6
after_occupation,socioeco,24,10,0.5712301139999999,0.71415341,0.0
after_occupation,socioeco,25,10,0.032270133,0.35484675499999996,0.1
after_occupation,socioeco,26,10,0.357187769,0.5714585130000002,0.0
after_occupation,socioeco,27,10,0.9986191439999998,0.9990794299999999,0.0
after_occupation,socioeco,28,10,0.140265357,0.4268435709999999,0.5
final_prompt,age,0,4940,0.001744910000000095,0.25130867999998346,
final_prompt,age,1,4940,0.24205765095951434,0.4315432382894742,
final_prompt,age,2,4940,0.2665006550769223,0.44987549132186144,
final_prompt,age,3,4940,0.22294172812348134,0.4172062960971664,
final_prompt,age,4,4940,0.29332691303643665,0.4699951848441318,
final_prompt,age,5,4940,0.1579026666761134,0.3684269999028342,
final_prompt,age,6,4940,0.4670500131315791,0.6002875099412951,
final_prompt,age,7,4940,0.6698042343056689,0.7523531756700389,
final_prompt,age,8,4940,0.2883693389048587,0.46627700409311595,
final_prompt,age,9,4940,0.15771271522267197,0.3682845364534415,
final_prompt,age,10,4940,0.3491391030040476,0.5118543272955458,
final_prompt,age,11,4940,0.244384809848178,0.4332886073481778,
final_prompt,age,12,4940,0.3103230131072871,0.48274225980971414,
final_prompt,age,13,4940,0.34021736087247056,0.5051630206902841,
final_prompt,age,14,4940,0.2024826405404857,0.4018619804352219,
final_prompt,age,15,4940,0.3444792087348177,0.5083594065647769,
final_prompt,age,16,4940,0.5489862746842104,0.6617397060708503,
final_prompt,age,17,4940,0.2725732164959516,0.4544299123380562,
final_prompt,age,18,4940,0.48656002277327814,0.6149200171153844,
final_prompt,age,19,4940,0.2662187596093117,0.44966406967206507,
final_prompt,age,20,4940,0.6984174498178143,0.7738130874109312,
final_prompt,age,21,4940,0.8740393836781392,0.9055295377267188,
final_prompt,age,22,4940,0.36989632244939263,0.5274222418562745,
final_prompt,age,23,4940,0.5648021951923061,0.6736016463785408,
final_prompt,age,24,4940,0.5262746369595147,0.6447059777753016,
final_prompt,age,25,4940,0.612569683487853,0.7094272626032383,
final_prompt,age,26,4940,0.5967410037651826,0.6975557528704452,
final_prompt,age,27,4940,0.6458784669412948,0.734408850240891,
final_prompt,age,28,4940,0.25563940219028297,0.4417295515910916,
final_prompt,education,0,4940,0.003921540000000248,0.33594769000001073,
final_prompt,education,1,4940,0.20708606105060764,0.47139070733603283,
final_prompt,education,2,4940,0.14591526705465546,0.4306101779230772,
final_prompt,education,3,4940,0.38668689139271273,0.5911245943137617,
final_prompt,education,4,4940,0.09688469819230798,0.39792313208906943,
final_prompt,education,5,4940,0.20653779224291527,0.4710251948340093,
final_prompt,education,6,4940,0.38270509322064816,0.5884700621457498,
final_prompt,education,7,4940,0.7994162224655874,0.86627748171255,
final_prompt,education,8,4940,0.7380868441983821,0.8253912294534397,
final_prompt,education,9,4940,0.3008633769230765,0.5339089180020242,
final_prompt,education,10,4940,0.24305348138866462,0.49536898759109305,
final_prompt,education,11,4940,0.40825273222874425,0.6055018215242922,
final_prompt,education,12,4940,0.6133398996578949,0.7422265997348196,
final_prompt,education,13,4940,0.5238699029291495,0.6825799352206472,
final_prompt,education,14,4940,0.28836067060121456,0.5255737803967601,
final_prompt,education,15,4940,0.9745014000566792,0.9830009333846123,
final_prompt,education,16,4940,0.5516117486558697,0.7010744990668013,
final_prompt,education,17,4940,0.8924542480060768,0.9283028319919026,
final_prompt,education,18,4940,0.5451053876801628,0.6967369250425114,
final_prompt,education,19,4940,0.2825570577408918,0.5217047051558714,
final_prompt,education,20,4940,0.3272556318056684,0.5515037545080971,
final_prompt,education,21,4940,0.5331554497935235,0.6887702998279364,
final_prompt,education,22,4940,0.6175082173846156,0.7450054783157888,
final_prompt,education,23,4940,0.5315586401862339,0.6877057600850198,
final_prompt,education,24,4940,0.6681031662510122,0.7787354441983808,
final_prompt,education,25,4940,0.37241771352226793,0.5816118090344136,
final_prompt,education,26,4940,0.5642334379959524,0.7094889586457483,
final_prompt,education,27,4940,0.8832956528866387,0.9221971019331983,
final_prompt,education,28,4940,0.5340877908765189,0.6893918606295552,
final_prompt,gender,0,4940,0.00357722999999992,0.5017886199999948,
final_prompt,gender,1,4940,0.35811794437044503,0.679058972147775,
final_prompt,gender,2,4940,0.41943855710323924,0.7097192785080952,
final_prompt,gender,3,4940,0.4193819576174084,0.7096909788218586,
final_prompt,gender,4,4940,0.6497672439858294,0.8248836220688237,
final_prompt,gender,5,4940,0.3785808198218627,0.6892904099574917,
final_prompt,gender,6,4940,0.8207225913400805,0.9103612956376527,
final_prompt,gender,7,4940,0.5026104140910936,0.751305207016194,
final_prompt,gender,8,4940,0.17538437149190209,0.5876921857206447,
final_prompt,gender,9,4940,0.1693697041477731,0.584684852062753,
final_prompt,gender,10,4940,0.5858717031032389,0.7929358515485843,
final_prompt,gender,11,4940,0.8611258015991887,0.9305629008016184,
final_prompt,gender,12,4940,0.43314302913765235,0.716571514546558,
final_prompt,gender,13,4940,0.43941435394939093,0.7197071769939295,
final_prompt,gender,14,4940,0.9051963533704457,0.9525981766639668,
final_prompt,gender,15,4940,0.37500160750809647,0.6875008037793516,
final_prompt,gender,16,4940,0.60630641393927,0.803153206945348,
final_prompt,gender,17,4940,0.7449456645829956,0.8724728322651826,
final_prompt,gender,18,4940,0.4940603778198374,0.7470301888724681,
final_prompt,gender,19,4940,0.5143262019777334,0.7571631008866397,
final_prompt,gender,20,4940,0.7518050280627534,0.8759025140020271,
final_prompt,gender,21,4940,0.8290146893785412,0.9145073447368449,
final_prompt,gender,22,4940,0.8756324050404859,0.9378162025060715,
final_prompt,gender,23,4940,0.8802028293501998,0.9401014146599198,
final_prompt,gender,24,4940,0.07839418362348179,0.5391970918097196,
final_prompt,gender,25,4940,0.7780946166943327,0.8890473083947386,
final_prompt,gender,26,4940,0.5702950374089055,0.7851475186801619,
final_prompt,gender,27,4940,0.281940760829959,0.6409703803684196,
final_prompt,gender,28,4940,0.7685990502570856,0.8842995250850207,
final_prompt,socioeco,0,4940,0.0038155899999999686,0.33587706000001666,0.0
final_prompt,socioeco,1,4940,0.532913330997974,0.6886088873238833,0.5
final_prompt,socioeco,2,4940,0.1172591977024291,0.4115061318643724,0.49190283400809715
final_prompt,socioeco,3,4940,0.21093305263765202,0.47395536843927044,0.0006072874493927126
final_prompt,socioeco,4,4940,0.28577422796761176,0.5238494852125505,0.0
final_prompt,socioeco,5,4940,0.23546504201821852,0.4903100280769234,0.002834008097165992
final_prompt,socioeco,6,4940,0.13511479418218605,0.42340986279757165,0.5129554655870445
final_prompt,socioeco,7,4940,0.33854776794129654,0.5590318452854253,0.012145748987854251
final_prompt,socioeco,8,4940,0.392064567497974,0.5947097116639674,0.0
final_prompt,socioeco,9,4940,0.43771426424089094,0.6251428427894733,0.5
final_prompt,socioeco,10,4940,0.24013812351214583,0.4934254157327943,0.47874493927125505
final_prompt,socioeco,11,4940,0.3400778906477735,0.5600519270910941,0.0006072874493927126
final_prompt,socioeco,12,4940,0.06576078374696377,0.37717385586639735,0.18603238866396762
final_prompt,socioeco,13,4940,0.3763591752246969,0.5842394501052632,0.4852226720647773
final_prompt,socioeco,14,4940,0.29324854764574904,0.5288323651255038,0.1479757085020243
final_prompt,socioeco,15,4940,0.2970863490182179,0.5313908994291485,0.14757085020242916
final_prompt,socioeco,16,4940,0.28593346702429173,0.5239556447004057,0.255668016194332
final_prompt,socioeco,17,4940,0.7491286718360306,0.8327524479635647,0.0
final_prompt,socioeco,18,4940,0.28975232236842147,0.526501548305667,0.042105263157894736
final_prompt,socioeco,19,4940,0.4166601857975705,0.6111067905101205,0.11194331983805668
final_prompt,socioeco,20,4940,0.4019357262145746,0.6012904840708492,0.39089068825910933
final_prompt,socioeco,21,4940,0.5214665404028345,0.6809776935769238,0.42753036437246966
final_prompt,socioeco,22,4940,0.5929292712975712,0.7286195141902827,0.49919028340080973
final_prompt,socioeco,23,4940,0.5003578224574903,0.6669052150283405,0.2744939271255061
final_prompt,socioeco,24,4940,0.7869165458846159,0.85794436396761,0.03967611336032389
final_prompt,socioeco,25,4940,0.31012922939878546,0.540086152894737,0.3097165991902834
final_prompt,socioeco,26,4940,0.6849456590060738,0.7899637726396773,0.5022267206477733
final_prompt,socioeco,27,4940,0.9957878744676113,0.9971919163076932,0.0
final_prompt,socioeco,28,4940,0.42343255041093125,0.6156217001659932,0.4036437246963563
