attribute,group_a,group_b,channel,magnitude,regime,quartile,n_questions,n_predictions,mean_human_gap,strict_accuracy,strict_accuracy_ci95_low,strict_accuracy_ci95_high,tie_aware_accuracy,fractional_accuracy,chance_accuracy,lift_over_chance,lift_ci95_low,lift_ci95_high,bootstrap_p_lift_le_zero
education,Less than high school,High school graduate,steered,6.0,Steered N=6,Q3,121,242,0.1744355733262929,0.384297520661157,0.32231404958677684,0.44214876033057854,0.384297520661157,0.384297520661157,0.3333333333333333,0.05096418732782371,-0.011019283746556474,0.10881542699724522,0.04547726136931534
education,Less than high school,High school graduate,steered,6.0,Steered N=6,Q4,122,244,0.3434245913780245,0.4262295081967213,0.36885245901639346,0.48770491803278687,0.4262295081967213,0.4262295081967213,0.3333333333333333,0.09289617486338797,0.03551912568306015,0.15437158469945356,0.001999000499750125
education,Less than high school,College graduate/some postgrad,steered,6.0,Steered N=6,All,486,972,0.25089930296449475,0.3497942386831276,0.32510288065843623,0.37551440329218105,0.3508230452674897,0.35030864197530864,0.3333333333333333,0.01697530864197533,-0.008230452674897082,0.04269547325102885,0.09795102448775612
education,Less than high school,College graduate/some postgrad,steered,6.0,Steered N=6,Q1,121,242,0.06905410319135591,0.29338842975206614,0.2396694214876033,0.34297520661157027,0.2975206611570248,0.29545454545454547,0.3333333333333333,-0.037878787878787845,-0.08953168044077134,0.009693526170798657,0.9405297351324338
education,Less than high school,College graduate/some postgrad,steered,6.0,Steered N=6,Q2,122,244,0.15552976945782074,0.3524590163934426,0.30327868852459017,0.4057377049180328,0.3524590163934426,0.3524590163934426,0.3333333333333333,0.01912568306010931,-0.030054644808743147,0.07240437158469948,0.223888055972014
education,Less than high school,College graduate/some postgrad,steered,6.0,Steered N=6,Q3,121,242,0.26784469192948973,0.3512396694214876,0.2975206611570248,0.4049586776859504,0.3512396694214876,0.3512396694214876,0.3333333333333333,0.017906336088154284,-0.03581267217630851,0.07162534435261708,0.2518740629685157
education,Less than high school,College graduate/some postgrad,steered,6.0,Steered N=6,Q4,122,244,0.5098170094858034,0.4016393442622951,0.3524590163934426,0.44672131147540983,0.4016393442622951,0.4016393442622951,0.3333333333333333,0.06830601092896177,0.01912568306010931,0.11338797814207652,0.004997501249375313
education,Less than high school,High school graduate,steered,8.0,Steered N=8,All,486,972,0.1685863093397156,0.3816872427983539,0.35288065843621397,0.4104938271604938,0.3816872427983539,0.3816872427983539,0.3333333333333333,0.048353909465020606,0.019547325102880653,0.0771604938271605,0.0014992503748125937
education,Less than high school,High school graduate,steered,8.0,Steered N=8,Q1,121,242,0.05022713243882999,0.3677685950413223,0.30578512396694213,0.4297520661157025,0.3677685950413223,0.3677685950413223,0.3333333333333333,0.034435261707988996,-0.027548209366391185,0.09641873278236918,0.1454272863568216
education,Less than high school,High school graduate,steered,8.0,Steered N=8,Q2,122,244,0.10533572781477823,0.3360655737704918,0.2827868852459016,0.38934426229508196,0.3360655737704918,0.3360655737704918,0.3333333333333333,0.002732240437158473,-0.050546448087431695,0.05601092896174864,0.47626186906546725
