attribute,class_label,magnitude,mean_entropy_nats,mean_normalized_entropy,mean_effective_options,mean_top_mass,mean_nonordinal_mass,mean_top_is_nonordinal,mean_top_mass_ge_0_9,mean_near_uniform,mean_low_entropy,n_questions
age,older_adult,16.0,0.6124256491143579,0.47596489892047666,1.9464055591168092,0.7597588057606017,0.0045932125411342435,0.004048582995951417,0.2894736842105263,0.004048582995951417,0.08906882591093117,494
age,older_adult,18.0,0.6890326772688526,0.5339477196880732,2.080882355772888,0.7165608257139977,0.004466880557125333,0.004048582995951417,0.19838056680161945,0.004048582995951417,0.03643724696356275,494
age,older_adult,20.0,0.7616184667475404,0.5882537692534707,2.214672570133144,0.6735671570795609,0.004340075532029495,0.004048582995951417,0.11336032388663968,0.0020242914979757085,0.010121457489878543,494
education,college and more,0.0,0.9080907348955282,0.6920315128801884,2.5948205340732415,0.6224885802140028,0.00164569997079916,0.0,0.07692307692307693,0.06275303643724696,0.004048582995951417,494
education,college and more,2.0,0.9479078980215092,0.7248066797038742,2.6982694608924995,0.6050096940208943,0.0015959236487886024,0.0,0.0708502024291498,0.10526315789473684,0.006072874493927126,494
education,college and more,4.0,1.0106729113317527,0.7723363606808348,2.856620718363716,0.5687522209875004,0.0016447040732620677,0.0,0.03643724696356275,0.12348178137651822,0.004048582995951417,494
education,college and more,6.0,1.0592006065479869,0.8046818762149552,2.9786881328597845,0.5229792822084579,0.0017094182993462933,0.0,0.010121457489878543,0.10323886639676114,0.0,494
education,college and more,8.0,1.064594490980463,0.8057040624778122,2.9945280533473517,0.51313318380759,0.0018784048729841762,0.0,0.010121457489878543,0.08299595141700405,0.0,494
education,college and more,10.0,1.0504340021624907,0.7934735239135187,2.961619718331611,0.5324561516681345,0.0022479285032714824,0.0,0.008097165991902834,0.10931174089068826,0.0,494
education,college and more,12.0,1.044642383152054,0.7884659631405987,2.949727773799774,0.5495420379675284,0.002934656916961983,0.0,0.010121457489878543,0.10931174089068826,0.0,494
education,college and more,14.0,1.052947552497571,0.7949190142265306,2.9723521543887466,0.5505024029998863,0.004007075834195646,0.0020242914979757085,0.010121457489878543,0.08906882591093117,0.0,494
education,college and more,16.0,1.071497686970736,0.8098819133959918,3.0192675463711898,0.5387636956411456,0.0053026873631984075,0.006072874493927126,0.010121457489878543,0.07894736842105263,0.0,494
education,college and more,18.0,1.0925103083660992,0.8271676422576746,3.072305876369693,0.5242975339703729,0.006548013490832005,0.006072874493927126,0.008097165991902834,0.07692307692307693,0.0,494
education,college and more,20.0,1.1123840558247469,0.84366140152529,3.1243483029286234,0.5093820009599491,0.007514334900005463,0.012145748987854251,0.0020242914979757085,0.07692307692307693,0.0,494
education,high school,0.0,0.9080907348955282,0.6920315128801884,2.5948205340732415,0.6224885802140028,0.00164569997079916,0.0,0.07692307692307693,0.06275303643724696,0.004048582995951417,494
education,high school,2.0,0.916591069247157,0.698659612965604,2.622178162425683,0.6226921930985893,0.001779317371248376,0.0,0.0708502024291498,0.05263157894736842,0.0020242914979757085,494
education,high school,4.0,0.9136267458473799,0.6968410550778363,2.638808636462107,0.6261242151833769,0.001926931798094706,0.0,0.10526315789473684,0.08502024291497975,0.004048582995951417,494
education,high school,6.0,0.9384220579927975,0.7155857798472544,2.741352228021609,0.6013502212198659,0.0020394044080759856,0.0,0.10526315789473684,0.1862348178137652,0.012145748987854251,494
education,high school,8.0,0.9960009810293495,0.7589331167348565,2.8844675276374976,0.5654277028988306,0.002206186547968837,0.0,0.07692307692307693,0.27530364372469635,0.006072874493927126,494
education,high school,10.0,1.013770654730389,0.7716732012003421,2.885774103756605,0.5775980016409277,0.0021458728765477676,0.0,0.03441295546558704,0.1659919028340081,0.0,494
education,high school,12.0,0.9788561393427304,0.7434664933200914,2.760739763119936,0.6240442321822355,0.0018722026970984752,0.0,0.004048582995951417,0.05263157894736842,0.0,494
education,high school,14.0,0.9344093863036794,0.7078329566181882,2.634831797063697,0.6621703635931417,0.0016549976278183855,0.0,0.01417004048582996,0.006072874493927126,0.0,494
education,high school,16.0,0.9174521760507561,0.6941261981241543,2.5879338993485024,0.6754094331608186,0.0016152445886859995,0.0,0.012145748987854251,0.0,0.0,494
education,high school,18.0,0.9277077267028837,0.7022180865771698,2.6090531376882398,0.6704855713360943,0.0017155494772303445,0.0,0.010121457489878543,0.0,0.0,494
education,high school,20.0,0.9543538885907228,0.723387240829649,2.6721157313000123,0.6553413838186698,0.0019021358320597268,0.0,0.008097165991902834,0.0,0.0,494
education,some schooling,0.0,0.9080907348955282,0.6920315128801884,2.5948205340732415,0.6224885802140028,0.00164569997079916,0.0,0.07692307692307693,0.06275303643724696,0.004048582995951417,494
education,some schooling,2.0,0.899842620961774,0.6884040358763938,2.568832884563705,0.6307018173972612,0.0017994360517766357,0.0,0.07692307692307693,0.06072874493927125,0.004048582995951417,494
education,some schooling,4.0,0.9088022402777347,0.6995359950817787,2.594458740083745,0.622348335052975,0.0021392563271632383,0.0,0.07894736842105263,0.09919028340080972,0.0,494
education,some schooling,6.0,0.9219050516289214,0.7100607349129114,2.635240661696536,0.610948213818862,0.003049651571111661,0.0020242914979757085,0.07894736842105263,0.145748987854251,0.0020242914979757085,494
education,some schooling,8.0,0.9369387122473773,0.7198022473226204,2.6849429126067954,0.6026748330979926,0.00450281241532041,0.0020242914979757085,0.06882591093117409,0.1700404858299595,0.012145748987854251,494
education,some schooling,10.0,0.9474879795789656,0.7261981956334076,2.723221387659348,0.5966295632222645,0.005810352052256754,0.010121457489878543,0.07692307692307693,0.15587044534412955,0.01417004048582996,494
education,some schooling,12.0,0.964257322362712,0.7365193986115971,2.7672736449089044,0.5882586425450343,0.00677302739563168,0.012145748987854251,0.06477732793522267,0.11133603238866396,0.004048582995951417,494
education,some schooling,14.0,0.9905120493960845,0.7543321095753364,2.8195173482929223,0.5793381535165608,0.007354408833363414,0.018218623481781375,0.04048582995951417,0.10121457489878542,0.0020242914979757085,494
education,some schooling,16.0,1.02466052713246,0.7790914699766635,2.891165392518995,0.5618890655790278,0.007709776456744621,0.016194331983805668,0.01417004048582996,0.07692307692307693,0.0,494
education,some schooling,18.0,1.059073550885017,0.8048396851017493,2.9717328291073497,0.5406729683080148,0.008004891012610028,0.018218623481781375,0.0,0.058704453441295545,0.0,494
education,some schooling,20.0,1.0866218217384591,0.8258596319405019,3.0417001235620975,0.5194221009867883,0.008271797368149082,0.018218623481781375,0.0,0.04048582995951417,0.0,494
gender,female,0.0,0.9080907348955282,0.6920315128801884,2.5948205340732415,0.6224885802140028,0.00164569997079916,0.0,0.07692307692307693,0.06275303643724696,0.004048582995951417,494
gender,female,2.0,0.9259338076398224,0.7048928620658294,2.628461564264742,0.6168704376241814,0.002029656349629262,0.0,0.05060728744939271,0.0465587044534413,0.0,494
gender,female,4.0,0.9713431894300075,0.7405425985437549,2.747379987844539,0.5923830576273189,0.003074910432019046,0.0,0.03643724696356275,0.05668016194331984,0.004048582995951417,494
gender,female,6.0,1.054594498454153,0.8040472983144098,2.9853716982138354,0.539835201992275,0.0045227537750299664,0.0,0.022267206477732792,0.2408906882591093,0.0,494
gender,female,8.0,1.1213611045167962,0.8568858015775872,3.1624849493115623,0.5026779670567233,0.0062191749383940335,0.010121457489878543,0.004048582995951417,0.29959514170040485,0.0,494
gender,female,10.0,1.1332396760106749,0.8675952366863137,3.173175340309435,0.5018222052191859,0.008302186044479437,0.01417004048582996,0.0,0.242914979757085,0.0,494
gender,female,12.0,1.10899403318186,0.8493504679773117,3.0893861623750185,0.5224913563260238,0.01000022043392666,0.018218623481781375,0.0,0.11133603238866396,0.0,494
gender,female,14.0,1.0905228256677943,0.8346836131907845,3.030585345281726,0.5360488691955592,0.010816845031942668,0.020242914979757085,0.0,0.05263157894736842,0.0,494
