attribute,channel,layer,decoder_layer,validation_accuracy,balanced_accuracy,macro_f1,validation_loss,majority_baseline,accuracy_over_baseline,best_epoch,train_examples,validation_examples,checkpoint,rank
age,reading,21,20,0.965,0.965,0.9650975529728127,0.07621350884437561,0.25,0.715,49,3200,800,age_probe_at_layer_21.pth,17
age,reading,14,13,0.94875,0.94875,0.9488534422441403,0.1386876255273819,0.25,0.69875,50,3200,800,age_probe_at_layer_14.pth,18
age,reading,15,14,0.94875,0.94875,0.948650235677382,0.13492701947689056,0.25,0.69875,50,3200,800,age_probe_at_layer_15.pth,19
age,reading,13,12,0.93875,0.93875,0.9388347461969015,0.14772159233689308,0.25,0.68875,50,3200,800,age_probe_at_layer_13.pth,20
age,reading,9,8,0.93625,0.93625,0.9361783827778147,0.189929086714983,0.25,0.68625,50,3200,800,age_probe_at_layer_9.pth,21
age,reading,12,11,0.93625,0.93625,0.9362295414049655,0.1725069135427475,0.25,0.68625,44,3200,800,age_probe_at_layer_12.pth,22
age,reading,10,9,0.93375,0.93375,0.9337224450833383,0.17379726469516754,0.25,0.68375,50,3200,800,age_probe_at_layer_10.pth,23
age,reading,8,7,0.93125,0.93125,0.9310549706427804,0.20845593139529228,0.25,0.68125,50,3200,800,age_probe_at_layer_8.pth,24
age,reading,11,10,0.93,0.9299999999999999,0.9297703148130984,0.166427131742239,0.25,0.68,50,3200,800,age_probe_at_layer_11.pth,25
age,reading,7,6,0.9125,0.9125,0.9118401277968703,0.2420886754989624,0.25,0.6625,48,3200,800,age_probe_at_layer_7.pth,26
age,reading,6,5,0.88375,0.88375,0.8823622566161471,0.2718561962246895,0.25,0.63375,50,3200,800,age_probe_at_layer_6.pth,27
age,reading,3,2,0.87625,0.87625,0.8754841367091563,0.47132447361946106,0.25,0.62625,47,3200,800,age_probe_at_layer_3.pth,28
age,reading,2,1,0.85625,0.85625,0.8547857687860274,0.5252156853675842,0.25,0.60625,38,3200,800,age_probe_at_layer_2.pth,29
age,reading,5,4,0.85375,0.85375,0.8515702351053316,0.3433365374803543,0.25,0.60375,50,3200,800,age_probe_at_layer_5.pth,30
age,reading,1,0,0.83875,0.83875,0.838786196440622,0.5513397604227066,0.25,0.58875,23,3200,800,age_probe_at_layer_1.pth,31
age,reading,4,3,0.8275,0.8275,0.824226900759008,0.3775959685444832,0.25,0.5775,50,3200,800,age_probe_at_layer_4.pth,32
