attribute,class_label,magnitude,mean_entropy_nats,mean_normalized_entropy,mean_effective_options,mean_top_mass,mean_nonordinal_mass,mean_top_is_nonordinal,mean_top_mass_ge_0_9,mean_near_uniform,mean_low_entropy,n_questions
age,adult,12.0,0.22582026446589082,0.16931270250966654,1.3154507057766271,0.9097243252108005,0.0006354447320781075,0.0,0.7186234817813765,0.006072874493927126,0.5951417004048583,494
age,adult,14.0,0.27495867295026716,0.20638227613390817,1.3900377162119808,0.8897183689451917,0.0006900489930878121,0.0,0.6578947368421053,0.004048582995951417,0.5121457489878543,494
age,adult,16.0,0.33485282157197965,0.2520438977244206,1.4814932847158737,0.8629030241394307,0.0009017547142026698,0.0,0.582995951417004,0.008097165991902834,0.41295546558704455,494
age,adult,18.0,0.415993830153869,0.3142512162553824,1.609401781886016,0.8295117395111237,0.0013123403814389383,0.0,0.48582995951417,0.010121457489878543,0.31376518218623484,494
age,adult,20.0,0.5322678351848674,0.40280389177987713,1.807995658181966,0.7784352846891895,0.002086572071381694,0.0020242914979757085,0.3684210526315789,0.008097165991902834,0.1680161943319838,494
age,child,0.0,0.12512517339883292,0.09391702927633866,1.1667563447402107,0.949078595855762,0.0007711739198383008,0.0,0.8299595141700404,0.0,0.757085020242915,494
age,child,2.0,0.12773931273060402,0.09661279884956535,1.171020025710449,0.9469848659086599,0.0006570212409314674,0.0,0.8319838056680162,0.0,0.7489878542510121,494
age,child,4.0,0.1275263420113536,0.0968375110029111,1.170787207393641,0.9475711299702435,0.000555836974356183,0.0,0.8421052631578947,0.0,0.7449392712550608,494
age,child,6.0,0.1291245692266383,0.09859066784825184,1.1730202943858405,0.9465498585469334,0.0004674331911018984,0.0,0.8319838056680162,0.0,0.7327935222672065,494
age,child,8.0,0.13063532111106038,0.10022649625564489,1.1735362202782351,0.9459476213588939,0.00047135768950074415,0.0,0.8360323886639676,0.004048582995951417,0.7408906882591093,494
age,child,10.0,0.13634111477909588,0.1052185870242073,1.179564078832155,0.941742779556405,0.00040342089516540413,0.0,0.8299595141700404,0.004048582995951417,0.7125506072874493,494
age,child,12.0,0.14551980991954272,0.11256037080688085,1.1908279523304677,0.9393672665413786,0.00043556348960319114,0.0,0.8117408906882592,0.0020242914979757085,0.6983805668016194,494
age,child,14.0,0.1557543884116884,0.12016006509287222,1.2044156951740221,0.9364344568314398,0.000478423366733476,0.0,0.7874493927125507,0.0020242914979757085,0.6842105263157895,494
age,child,16.0,0.1706151995888811,0.131255204099798,1.2252687073847777,0.9294348999091959,0.0005856395067509234,0.0,0.7773279352226721,0.0020242914979757085,0.6538461538461539,494
age,child,18.0,0.19269172931650957,0.14738302481257534,1.2565610409678925,0.9215323889700692,0.0008716477973890128,0.0,0.7408906882591093,0.0020242914979757085,0.611336032388664,494
age,child,20.0,0.2202082025217492,0.16726286618333042,1.2985828229859335,0.9092106709407002,0.0011079810195311628,0.0,0.7145748987854251,0.0020242914979757085,0.5688259109311741,494
age,older_adult,0.0,0.12512517339883292,0.09391702927633866,1.1667563447402107,0.949078595855762,0.0007711739198383008,0.0,0.8299595141700404,0.0,0.757085020242915,494
age,older_adult,2.0,0.13005953568422862,0.0973889699210163,1.1747913839560742,0.9467639255115434,0.001020188006046502,0.0,0.8279352226720648,0.0,0.7388663967611336,494
age,older_adult,4.0,0.13216415480379493,0.09949404904442576,1.1776923304362703,0.9457320592388267,0.0013864804991126467,0.0020242914979757085,0.8238866396761133,0.0,0.7449392712550608,494
age,older_adult,6.0,0.1363724766765463,0.103493788777554,1.1829728927256047,0.9429057089463558,0.0017403646232489994,0.0020242914979757085,0.8299595141700404,0.0,0.7327935222672065,494
age,older_adult,8.0,0.14092121295501753,0.10740339461683034,1.1864468367545897,0.9433263088114031,0.0018971534343276942,0.0020242914979757085,0.8137651821862348,0.0,0.7145748987854251,494
age,older_adult,10.0,0.14898802634281313,0.11363229251177161,1.1966385867316662,0.9405431787629501,0.0020060006489619805,0.0020242914979757085,0.8117408906882592,0.0020242914979757085,0.6983805668016194,494
age,older_adult,12.0,0.1556592338817992,0.11866585925397559,1.2064749197712819,0.9378157959422236,0.002078782349612131,0.0020242914979757085,0.7995951417004049,0.0020242914979757085,0.6781376518218624,494
age,older_adult,14.0,0.16424630248577013,0.12495895332090466,1.2199670816108212,0.9340055480339127,0.0021284678978232704,0.0020242914979757085,0.805668016194332,0.0020242914979757085,0.6821862348178138,494
age,older_adult,16.0,0.1805169789058025,0.1374343866373442,1.2445505254199998,0.9271619449062012,0.0022742002951851516,0.0020242914979757085,0.7793522267206477,0.0020242914979757085,0.6578947368421053,494
age,older_adult,18.0,0.20739251639143863,0.15801805257745594,1.2884645148912774,0.9142896446591464,0.0025868113857501476,0.0020242914979757085,0.7489878542510121,0.004048582995951417,0.6133603238866396,494
age,older_adult,20.0,0.23614105094674553,0.1795881740242731,1.3352399851944698,0.9052561132516143,0.0030750306150113217,0.004048582995951417,0.7125506072874493,0.006072874493927126,0.5748987854251012,494
education,college and more,0.0,0.12512517339883292,0.09391702927633866,1.1667563447402107,0.949078595855762,0.0007711739198383008,0.0,0.8299595141700404,0.0,0.757085020242915,494
education,college and more,2.0,0.131780984807568,0.09866218997453413,1.176292302906702,0.9467903916883122,0.0004611567610355281,0.0,0.8279352226720648,0.0,0.7388663967611336,494
education,college and more,4.0,0.13965252723955626,0.10434729781062081,1.1884990719347177,0.9444167758598744,0.0003189004567888242,0.0,0.8218623481781376,0.0,0.7165991902834008,494
education,college and more,6.0,0.15064143457402282,0.11280240510471122,1.2052721554096941,0.9389391533801174,0.00028019610952759053,0.0,0.8137651821862348,0.0,0.694331983805668,494
education,college and more,8.0,0.163541080622817,0.122791349343995,1.2219386833960493,0.9332626445214125,0.00032012933767543877,0.0,0.7935222672064778,0.0,0.6821862348178138,494
education,college and more,10.0,0.1793098822045143,0.13503043323064046,1.243453338952756,0.9263250481116065,0.0004291698928207989,0.0,0.7591093117408907,0.0,0.6538461538461539,494
education,college and more,12.0,0.19983619926513757,0.1509195132180161,1.2746413594105215,0.915849087003341,0.000578639954255647,0.0,0.7388663967611336,0.0020242914979757085,0.6295546558704453,494
education,college and more,14.0,0.22406799377050526,0.1692118287758533,1.3108436668668795,0.9049536049022544,0.0008232977554707185,0.0,0.7186234817813765,0.004048582995951417,0.597165991902834,494
education,college and more,16.0,0.25237492536142936,0.1908158689913635,1.3531736970955168,0.8923732599147048,0.0010479921560327217,0.0,0.6862348178137652,0.004048582995951417,0.5546558704453441,494
education,college and more,18.0,0.2832928871662645,0.21429256939429112,1.3995626351488106,0.8793761798733516,0.001611865419649125,0.0,0.645748987854251,0.0020242914979757085,0.4898785425101215,494
education,college and more,20.0,0.31746913474374205,0.24012948827256736,1.4503297791945053,0.8662505236387259,0.002346556179288582,0.0,0.6133603238866396,0.004048582995951417,0.42105263157894735,494
education,high school,0.0,0.12512517339883292,0.09391702927633866,1.1667563447402107,0.949078595855762,0.0007711739198383008,0.0,0.8299595141700404,0.0,0.757085020242915,494
education,high school,2.0,0.12261303709415038,0.09119511998004907,1.1646048775952669,0.949046847188763,0.0008920665954581298,0.0,0.8502024291497976,0.0,0.7651821862348178,494
education,high school,4.0,0.12259509990835682,0.09071377316538218,1.167027610320611,0.9482208020287437,0.0011447016915594433,0.0020242914979757085,0.8603238866396761,0.0,0.771255060728745,494
education,high school,6.0,0.1247244204155934,0.092126739248361,1.1712456284155044,0.9496151013106512,0.0014861621917154648,0.0020242914979757085,0.8582995951417004,0.0,0.7692307692307693,494
