qkey,attribute,class_label,group,channel,magnitude,wasserstein,total_variation
GROWUPGUN2A_W26,education,some schooling,Less than high school,steered,7.0,0.10107911841967121,0.10107911841967124
GROWUPGUN2A_W26,education,some schooling,Less than high school,steered,9.0,0.2811466830176443,0.2811466830176443
GROWUPGUN2A_W26,education,some schooling,Less than high school,steered,13.0,0.501373242821695,0.501373242821695
GROWUPGUN2A_W26,education,high school,High school graduate,steered,0.0,0.1392638004946597,0.13926380049465964
GROWUPGUN2A_W26,education,high school,High school graduate,steered,1.0,0.12905841018849806,0.12905841018849798
GROWUPGUN2A_W26,education,high school,High school graduate,steered,3.0,0.1263121502122203,0.12631215021222025
GROWUPGUN2A_W26,education,high school,High school graduate,steered,5.0,0.1401351005207987,0.14013510052079864
GROWUPGUN2A_W26,education,high school,High school graduate,steered,7.0,0.15995061888473583,0.15995061888473583
GROWUPGUN2A_W26,education,high school,High school graduate,steered,9.0,0.20078803468077333,0.2007880346807733
GROWUPGUN2A_W26,education,high school,High school graduate,steered,13.0,0.280181388240729,0.280181388240729
GROWUPGUN2A_W26,education,college and more,College graduate/some postgrad,steered,0.0,0.11896103049465967,0.11896103049465964
GROWUPGUN2A_W26,education,college and more,College graduate/some postgrad,steered,1.0,0.05277396149095248,0.05277396149095248
GROWUPGUN2A_W26,education,college and more,College graduate/some postgrad,steered,3.0,0.1521965252801341,0.15219652528013414
GROWUPGUN2A_W26,education,college and more,College graduate/some postgrad,steered,5.0,0.31543204,0.31543204
GROWUPGUN2A_W26,education,college and more,College graduate/some postgrad,steered,7.0,0.3764294537552967,0.37642945375529674
GROWUPGUN2A_W26,education,college and more,College graduate/some postgrad,steered,9.0,0.37854254556955236,0.37854254556955236
GROWUPGUN2A_W26,education,college and more,College graduate/some postgrad,steered,13.0,0.33741066773216377,0.33741066773216377
GROWUPGUN2A_W26,socioeco,low,"Less than $30,000",steered,0.0,0.03217136049465963,0.03217136049465963
GROWUPGUN2A_W26,socioeco,low,"Less than $30,000",steered,1.0,0.038948739999999926,0.03894873999999998
GROWUPGUN2A_W26,socioeco,low,"Less than $30,000",steered,3.0,0.06701761845995258,0.06701761845995263
GROWUPGUN2A_W26,socioeco,low,"Less than $30,000",steered,5.0,0.09274284537639166,0.09274284537639171
GROWUPGUN2A_W26,socioeco,low,"Less than $30,000",steered,7.0,0.08026655999999999,0.08026656000000001
GROWUPGUN2A_W26,socioeco,low,"Less than $30,000",steered,9.0,0.05231082890115635,0.052310828901156375
GROWUPGUN2A_W26,socioeco,low,"Less than $30,000",steered,13.0,0.04703682094062345,0.04703682094062345
GROWUPGUN2A_W26,socioeco,mid,"$50,000-$75,000",steered,0.0,0.1554576404946597,0.15545764049465965
