qkey,attribute,class_label,group,channel,magnitude,wasserstein,total_variation
GUNACTIVITYB_W26,gender,male,Male,declared,,0.5815493732611872,0.40986811162792625
GUNACTIVITYB_W26,gender,female,Female,declared,,0.30114429877071547,0.21303901740744124
GUNACTIVITYB_W26,age,adult,30-49,declared,,0.28742510908835595,0.22812591473537158
GUNACTIVITYB_W26,age,older_adult,65+,declared,,0.6535147116876638,0.3370688622867708
GUNACTIVITYB_W26,education,some schooling,Less than high school,declared,,0.4822051088384627,0.2790680617329803
GUNACTIVITYB_W26,education,high school,High school graduate,declared,,0.3726053003936484,0.3113865661108963
GUNACTIVITYB_W26,education,college and more,College graduate/some postgrad,declared,,1.2111443309283634,0.5444378441670494
GUNACTIVITYB_W26,socioeco,low,"Less than $30,000",declared,,0.20310663456570732,0.1668018455181252
GUNACTIVITYB_W26,socioeco,mid,"$50,000-$75,000",declared,,0.7212357973184618,0.43125171426512254
GUNACTIVITYB_W26,socioeco,high,"$100,000 or more",declared,,0.35880224908059244,0.20098239008084842
GUNCONTRIBA_W26,gender,male,Male,declared,,0.7139322605771118,0.4146634050662532
GUNCONTRIBA_W26,gender,female,Female,declared,,0.3788908999999999,0.3562748399999999
GUNCONTRIBA_W26,age,adult,30-49,declared,,0.4266860568787431,0.34782741668775596
GUNCONTRIBA_W26,age,older_adult,65+,declared,,0.2784889072151108,0.23537075764629245
GUNCONTRIBA_W26,education,some schooling,Less than high school,declared,,0.8882312074621873,0.4414639163721328
GUNCONTRIBA_W26,education,high school,High school graduate,declared,,0.627437530666786,0.3697472219009966
GUNCONTRIBA_W26,education,college and more,College graduate/some postgrad,declared,,0.22713965367057654,0.22713965367057654
GUNCONTRIBA_W26,socioeco,low,"Less than $30,000",declared,,0.6762246932377532,0.4312560156874399
GUNCONTRIBA_W26,socioeco,mid,"$50,000-$75,000",declared,,0.600388385492812,0.32850447434587976
GUNCONTRIBA_W26,socioeco,high,"$100,000 or more",declared,,0.815395978427676,0.34063076016060023
