attribute,class_label,group,n_questions,wasserstein_mean,wasserstein_median,wasserstein_std,total_variation_mean,total_variation_median,total_variation_std,channel,magnitude
gender,male,Male,492,0.5741159629816935,0.48348698073496765,0.4092452811639032,0.3974257661424277,0.37845099797413706,0.1899660397700628,steered,5.0
gender,male,Male,492,0.6013460890617607,0.5168913628836723,0.4184987447220503,0.41223456310933126,0.3973358555770712,0.1870433457926574,steered,7.0
gender,male,Male,492,0.5490643486751944,0.4900427030263922,0.3769300975348479,0.38482082960923053,0.3686254804057151,0.17059785327631427,steered,9.0
gender,male,Male,492,0.45479856792484835,0.39918828393241684,0.281645702944466,0.3163565662020537,0.30632733992389216,0.12658831209790875,steered,13.0
gender,female,Female,494,0.6144493813977948,0.5472647907009117,0.402850182353276,0.42845656364095297,0.432759678641918,0.17939292818507133,steered,0.0
gender,female,Female,494,0.647785822148854,0.6027030865131519,0.41800727651163816,0.4408308396971601,0.4440731463387039,0.1740120320587934,steered,1.0
gender,female,Female,494,0.7146320512700535,0.6408809656455758,0.45986921155092375,0.4495342252069867,0.4601664780814392,0.1734567204558526,steered,3.0
gender,female,Female,494,0.700690899358383,0.6001530737766161,0.47090126361415524,0.4213355385008601,0.42555137752286465,0.17678639004558971,steered,5.0
gender,female,Female,494,0.6110622640839893,0.49106706502573605,0.43322803757037026,0.37570341922185013,0.36411709000000003,0.1670003453502028,steered,7.0
gender,female,Female,494,0.5231450299534333,0.4334088680934474,0.38332092591474803,0.34087455586742327,0.33089969742971836,0.1585799627859404,steered,9.0
gender,female,Female,494,0.46023891431716346,0.3883456115206506,0.3365309706732637,0.3375182744616243,0.31987022074438537,0.16059133004078738,steered,13.0
age,adult,30-49,491,0.6004135546758732,0.5471130087922831,0.3894687334199285,0.420977470077112,0.4144339977634427,0.1758137712234036,steered,0.0
age,adult,30-49,491,0.6091080555295217,0.5491637451560543,0.3950988993971479,0.4188204651523756,0.4243184608028791,0.1746939088651793,steered,1.0
age,adult,30-49,491,0.6430679033686673,0.5936549155317214,0.4189661000094114,0.41811693699189356,0.4139378809136251,0.17764301421155249,steered,3.0
age,adult,30-49,491,0.6586688210307255,0.603791853749962,0.42689278498175265,0.4138053732366818,0.41567391180985114,0.17873752477904595,steered,5.0
age,adult,30-49,491,0.6494878322545532,0.5850976206157729,0.41886168610711316,0.4063584130362595,0.4000881944773458,0.17569546197189254,steered,7.0
age,adult,30-49,491,0.6229502817938954,0.5390751955618848,0.407976321788562,0.3935119878645147,0.38207181908109816,0.17544725781394513,steered,9.0
age,adult,30-49,491,0.5441510964062775,0.4527712729724431,0.37087446624926296,0.3497568782605031,0.32815817117848267,0.16268812471865843,steered,13.0
age,older_adult,65+,490,0.6239719272768112,0.5746082997464407,0.40829069862385275,0.4342922131611796,0.4252566513684779,0.18292951915495367,steered,0.0
age,older_adult,65+,490,0.6180883591699021,0.5406876673042048,0.4069433628550368,0.43717992559147245,0.4270334159837496,0.18458703255416234,steered,1.0
