analysis,attribute,channel,magnitude,class_a,class_b,n_questions,wasserstein_mean,wasserstein_median,wasserstein_std,wasserstein_max,total_variation_mean,total_variation_median,total_variation_std,total_variation_max,class_label
pairwise_classes,education,steered,3.0,some schooling,college and more,494,0.42172583701927896,0.3278750628992272,0.3466871145963748,1.5906748151072256,0.2438178714778332,0.21756037455954597,0.14228824289406586,0.7432155624026603,
pairwise_classes,education,steered,3.0,high school,college and more,494,0.46435923582732874,0.3874489104042077,0.36298150325707973,1.7164506050948638,0.2675664661759487,0.2527601036575611,0.154548780486996,0.7860871882518154,
pairwise_classes,education,steered,5.0,some schooling,high school,494,0.39020662507731135,0.302454103348295,0.3158051001585884,1.489809730839419,0.2497365829713491,0.22440536893332425,0.16138518952338343,0.754832830151986,
pairwise_classes,education,steered,5.0,some schooling,college and more,494,0.5246148352541041,0.43919435090688064,0.38301677385699157,1.8898003947286233,0.34314696616270973,0.3162808606531098,0.17635411567346088,0.8661421204631667,
pairwise_classes,education,steered,5.0,high school,college and more,494,0.6228974596576518,0.5255898077168852,0.4492228895640771,2.1521288973475983,0.3940136436889,0.37072244214312816,0.21045003307119348,0.8488497379654277,
pairwise_classes,education,steered,7.0,some schooling,high school,494,0.4242032532875694,0.30886855518917156,0.34937288008274353,1.8683162639505126,0.260027416823082,0.23058051550689873,0.15837647867129748,0.739128264395605,
pairwise_classes,education,steered,7.0,some schooling,college and more,494,0.5564037786834365,0.5001780068501722,0.358675866483411,1.8212739033576315,0.4066423537867747,0.38545022047340244,0.1904178007027792,0.8937389526219447,
pairwise_classes,education,steered,7.0,high school,college and more,494,0.6426035116205261,0.5606525316132012,0.41699670890348256,2.0761244053097005,0.44215397878281526,0.42065630127159537,0.22134346361343227,0.8981266661550547,
pairwise_classes,education,steered,9.0,some schooling,high school,494,0.4149305785723719,0.3242019029316935,0.33682223161087843,1.7712963489503766,0.24736055352511274,0.23048547140465656,0.14106480579768493,0.7071357948666663,
pairwise_classes,education,steered,9.0,some schooling,college and more,494,0.5832586471165091,0.5475967951122381,0.35570132087769135,1.9055601271668043,0.45637189982522425,0.44307169655611733,0.2060946667443017,0.9319324718845151,
pairwise_classes,education,steered,9.0,high school,college and more,494,0.6457810071166614,0.5929702936652124,0.35430757658712175,1.782766636124657,0.4787442303616842,0.4748503107379084,0.19663987118696455,0.895385321147477,
pairwise_classes,education,steered,13.0,some schooling,high school,494,0.44973628279628275,0.3763953587254184,0.32810270144157666,1.6693429570677893,0.29834350637401325,0.30247243417720515,0.16071589588443025,0.6591983047624865,
pairwise_classes,education,steered,13.0,some schooling,college and more,494,0.5658823794019505,0.5350789005316641,0.3504754218280704,2.212686303200938,0.460693342000168,0.4703993979015397,0.22044794049260724,0.9226961399722001,
