qkey,attribute,class_idx,class_label,magnitude,wasserstein,total_variation
RACESURV15a_W43,gender,0,male,1.0,0.015364371667617421,0.026185343317770074
RACESURV15a_W43,gender,0,male,3.0,0.1033699354024828,0.20673987080496575
RACESURV15a_W43,gender,0,male,5.0,0.17588309669828894,0.3517661933965779
RACESURV15a_W43,gender,0,male,7.0,0.19884012382268837,0.39768024764537674
RACESURV15a_W43,gender,0,male,9.0,0.19405815533553794,0.3881163106710758
RACESURV15a_W43,gender,0,male,13.0,0.19876377897527558,0.39752755795055117
RACESURV15a_W43,gender,1,female,0.0,0.050923589038755254,0.10184717807751044
RACESURV15a_W43,gender,1,female,1.0,0.044206180667464234,0.08841236133492848
RACESURV15a_W43,gender,1,female,3.0,0.09467520585476287,0.18935041170952568
RACESURV15a_W43,gender,1,female,5.0,0.18424764973543822,0.3684952994708764
RACESURV15a_W43,gender,1,female,7.0,0.2733746600892345,0.546749320178469
RACESURV15a_W43,gender,1,female,9.0,0.32389731176102693,0.6477946235220537
RACESURV15a_W43,gender,1,female,13.0,0.3520721946057324,0.7041443892114648
RACESURV15a_W43,age,0,child,0.0,0.07320803552777039,0.14641607105554075
RACESURV15a_W43,age,0,child,1.0,0.07668806605336596,0.15337613210673184
RACESURV15a_W43,age,0,child,3.0,0.07652563772951655,0.13381044448774146
RACESURV15a_W43,age,0,child,5.0,0.08666875727322029,0.09723308475456813
RACESURV15a_W43,age,0,child,7.0,0.09716238049134587,0.19432476098269186
RACESURV15a_W43,age,0,child,9.0,0.15462729221529328,0.30925458443058657
RACESURV15a_W43,age,0,child,13.0,0.2026018656777485,0.40520373135549714
RACESURV15a_W43,age,1,adolescent,0.0,0.08038572831957563,0.16077145663915135
RACESURV15a_W43,age,1,adolescent,1.0,0.05516303635224497,0.11032607270449002
RACESURV15a_W43,age,1,adolescent,3.0,0.06262901187887039,0.06613761198412844
RACESURV15a_W43,age,1,adolescent,5.0,0.08911468565241815,0.128786639019699
RACESURV15a_W43,age,1,adolescent,7.0,0.10672772878216687,0.16726297837143278
RACESURV15a_W43,age,1,adolescent,9.0,0.1067665932029978,0.16982990509489715
RACESURV15a_W43,age,1,adolescent,13.0,0.07066744712002342,0.12076470362294109
RACESURV15a_W43,age,2,adult,0.0,0.0646129557856227,0.1292259115712455
RACESURV15a_W43,age,2,adult,1.0,0.07812177011416806,0.15624354022833617
RACESURV15a_W43,age,2,adult,3.0,0.07899900885016793,0.15799801770033592
RACESURV15a_W43,age,2,adult,5.0,0.04775242017617835,0.0955048403523567
RACESURV15a_W43,age,2,adult,7.0,0.02620697154273663,0.026731329588493405
RACESURV15a_W43,age,2,adult,9.0,0.05447770423061271,0.09284083047347842
RACESURV15a_W43,age,2,adult,13.0,0.06719563334830025,0.1343912666966005
RACESURV15a_W43,age,3,older_adult,0.0,0.1500598790520623,0.29771128438960826
RACESURV15a_W43,age,3,older_adult,1.0,0.1472345660205174,0.2912594629436386
RACESURV15a_W43,age,3,older_adult,3.0,0.14637819051171508,0.2703593088353584
RACESURV15a_W43,age,3,older_adult,5.0,0.16049500986041038,0.2778852400487277
RACESURV15a_W43,age,3,older_adult,7.0,0.17146859488735466,0.2951514250125775
RACESURV15a_W43,age,3,older_adult,9.0,0.17234163502443667,0.30988777208092355
RACESURV15a_W43,age,3,older_adult,13.0,0.1438290849237603,0.2876581698475206
RACESURV15a_W43,education,0,some schooling,0.0,0.059767060451708875,0.10665913043479705
RACESURV15a_W43,education,0,some schooling,1.0,0.057906845077477564,0.08583038202982188
RACESURV15a_W43,education,0,some schooling,3.0,0.06074881439251187,0.08823057911769423
RACESURV15a_W43,education,0,some schooling,5.0,0.10605440893945592,0.21210881787891184
RACESURV15a_W43,education,0,some schooling,7.0,0.17511739758519967,0.35023479517039935
RACESURV15a_W43,education,0,some schooling,9.0,0.21291962579503512,0.4258392515900703
RACESURV15a_W43,education,0,some schooling,13.0,0.25368579498403254,0.5073715899680651
RACESURV15a_W43,education,1,high school,0.0,0.047840948391925445,0.09568189678385094
RACESURV15a_W43,education,1,high school,1.0,0.04176579882782726,0.0816483631858323
RACESURV15a_W43,education,1,high school,3.0,0.05330185314201251,0.06045852794708893
RACESURV15a_W43,education,1,high school,5.0,0.07165841882479827,0.12597660202006045
RACESURV15a_W43,education,1,high school,7.0,0.11866683645315874,0.23733367290631746
RACESURV15a_W43,education,1,high school,9.0,0.16340020275895378,0.3268004055179077
RACESURV15a_W43,education,1,high school,13.0,0.23333537089844208,0.4251626592370753
RACESURV15a_W43,education,2,college and more,0.0,0.03922375505977127,0.07844751011954265
RACESURV15a_W43,education,2,college and more,1.0,0.04894174071012593,0.09788348142025194
RACESURV15a_W43,education,2,college and more,3.0,0.04287045222635895,0.085740904452718
RACESURV15a_W43,education,2,college and more,5.0,0.08751632115157482,0.09828100477169421
RACESURV15a_W43,education,2,college and more,7.0,0.14195463513820583,0.21841541189444208
RACESURV15a_W43,education,2,college and more,9.0,0.16583094052775144,0.2838151960922243
RACESURV15a_W43,education,2,college and more,13.0,0.1713543801382058,0.332923331894442
RACESURV15a_W43,socioeco,0,low,0.0,0.058333796938706314,0.11666759387741255
RACESURV15a_W43,socioeco,0,low,1.0,0.07672085256323678,0.15344170512647348
