qkey,attribute,class_idx,class_label,magnitude,wasserstein,total_variation
FAMSURV39_W50,education,0,some schooling,1.0,0.02302474687859188,0.010710963236007162
FAMSURV39_W50,education,0,some schooling,3.0,0.009376077253338652,0.006957921963472216
FAMSURV39_W50,education,0,some schooling,5.0,0.03148905498646372,0.011637624734554526
FAMSURV39_W50,education,0,some schooling,7.0,0.019358614351471945,0.009822360809062089
FAMSURV39_W50,education,0,some schooling,9.0,0.07357109439745492,0.03840852731601711
FAMSURV39_W50,education,0,some schooling,13.0,0.5619078083064275,0.2511391814887239
FAMSURV39_W50,education,1,high school,1.0,0.018600824494589108,0.0064992280634830115
FAMSURV39_W50,education,1,high school,3.0,0.010452354796784871,0.005779691011195657
FAMSURV39_W50,education,1,high school,5.0,0.164273947979104,0.0638689734429253
FAMSURV39_W50,education,1,high school,7.0,0.504304727979104,0.19998810344292528
FAMSURV39_W50,education,1,high school,9.0,0.8637017276053552,0.3748321742752172
FAMSURV39_W50,education,1,high school,13.0,1.5573468309117826,0.6583547143676809
FAMSURV39_W50,education,2,college and more,1.0,0.016851719494448407,0.011920419642387357
FAMSURV39_W50,education,2,college and more,3.0,0.04204553475842253,0.03783722417714796
FAMSURV39_W50,education,2,college and more,5.0,0.18276503451704895,0.11472698655819041
FAMSURV39_W50,education,2,college and more,7.0,0.41247327956281743,0.2337412343276191
FAMSURV39_W50,education,2,college and more,9.0,0.7034588440785634,0.38342465149265503
FAMSURV39_W50,education,2,college and more,13.0,1.09585110103266,0.6064040411774313
FAMSURV39_W50,socioeco,0,low,1.0,0.028189725628695428,0.01181726913089751
FAMSURV39_W50,socioeco,0,low,3.0,0.07941539143295916,0.031049814901065245
FAMSURV39_W50,socioeco,0,low,5.0,0.11367525140392713,0.03995225261277531
FAMSURV39_W50,socioeco,0,low,7.0,0.18028249690415654,0.06286504450775125
FAMSURV39_W50,socioeco,0,low,9.0,0.3333744319856583,0.1180874301193058
FAMSURV39_W50,socioeco,0,low,13.0,0.7669586879791039,0.26394336195027024
FAMSURV39_W50,socioeco,1,mid,1.0,0.06780087814904825,0.024727932373331547
FAMSURV39_W50,socioeco,1,mid,3.0,0.06802636587695968,0.035943500084315315
FAMSURV39_W50,socioeco,1,mid,5.0,0.21755626347331208,0.15832720525018384
FAMSURV39_W50,socioeco,1,mid,7.0,0.6986086908127982,0.4466762685276897
FAMSURV39_W50,socioeco,1,mid,9.0,0.942814323803415,0.5864856694179283
FAMSURV39_W50,socioeco,1,mid,13.0,1.1482672672672338,0.6628291745632577
FAMSURV39_W50,socioeco,2,high,1.0,0.07870226453238004,0.032366861971614896
FAMSURV39_W50,socioeco,2,high,3.0,0.45035673365256673,0.22006474674634685
FAMSURV39_W50,socioeco,2,high,5.0,0.862612264121632,0.5048240948552771
FAMSURV39_W50,socioeco,2,high,7.0,0.9396741062048735,0.6583534443676301
FAMSURV39_W50,socioeco,2,high,9.0,0.9072165235659029,0.7281694193069489
FAMSURV39_W50,socioeco,2,high,13.0,0.9065677228029683,0.7433493576995192
FAMSURV3_W50,gender,0,male,1.0,0.17965681168459846,0.11449887109009226
FAMSURV3_W50,gender,0,male,3.0,0.47460930127670464,0.28701168467604615
FAMSURV3_W50,gender,0,male,5.0,0.6922201389080265,0.38290094421000326
FAMSURV3_W50,gender,0,male,7.0,0.7482383175528503,0.3981910080542697
FAMSURV3_W50,gender,0,male,9.0,0.7107901548170745,0.3633524194166807
FAMSURV3_W50,gender,0,male,13.0,0.6380327890707113,0.32377012136148753
FAMSURV3_W50,gender,1,female,1.0,0.10192294626696302,0.06650276176064737
FAMSURV3_W50,gender,1,female,3.0,0.03492964547961136,0.03492964547961135
FAMSURV3_W50,gender,1,female,5.0,0.20535442701847112,0.12151772634978873
FAMSURV3_W50,gender,1,female,7.0,0.29863952104081437,0.25446789236596323
FAMSURV3_W50,gender,1,female,9.0,0.3860808036522638,0.3860808036522638
FAMSURV3_W50,gender,1,female,13.0,0.5666901005365861,0.5666901005365861
FAMSURV3_W50,age,0,child,1.0,0.030444496981747532,0.015482464705692929
FAMSURV3_W50,age,0,child,3.0,0.025596986285308182,0.02559698628530821
FAMSURV3_W50,age,0,child,5.0,0.1395045233343538,0.10989624556436213
FAMSURV3_W50,age,0,child,7.0,0.3417607397471781,0.24911000252669996
FAMSURV3_W50,age,0,child,9.0,0.4321641811063479,0.33527851278133036
FAMSURV3_W50,age,0,child,13.0,0.4406799290707112,0.4175591613614875
FAMSURV3_W50,age,1,adolescent,1.0,0.19059374080787012,0.10196398655468517
FAMSURV3_W50,age,1,adolescent,3.0,0.3565236792264302,0.19775722983201793
FAMSURV3_W50,age,1,adolescent,5.0,0.365361949018095,0.22995767092779149
FAMSURV3_W50,age,1,adolescent,7.0,0.41175209907071125,0.28109641136148744
FAMSURV3_W50,age,1,adolescent,9.0,0.3821322296053891,0.29370484153412013
FAMSURV3_W50,age,1,adolescent,13.0,0.26250914365226385,0.2625091436522638
FAMSURV3_W50,age,2,adult,1.0,0.010444913652263826,0.010444913652263785
FAMSURV3_W50,age,2,adult,3.0,0.037418200469057306,0.037418200469057236
FAMSURV3_W50,age,2,adult,5.0,0.12953449437520853,0.09246263078506504
FAMSURV3_W50,age,2,adult,7.0,0.2287886972019671,0.14043019021270114
FAMSURV3_W50,age,2,adult,9.0,0.29832883236975083,0.16777509403692034
FAMSURV3_W50,age,2,adult,13.0,0.3128069490707112,0.1697003313614875
FAMSURV3_W50,age,3,older_adult,1.0,0.10799156565230081,0.0576880854282309
FAMSURV3_W50,age,3,older_adult,3.0,0.27104537457573874,0.1388965310367097
FAMSURV3_W50,age,3,older_adult,5.0,0.33221600485980146,0.17076856056666512
FAMSURV3_W50,age,3,older_adult,7.0,0.3751029361410375,0.1955835835185871
FAMSURV3_W50,age,3,older_adult,9.0,0.39907084619689837,0.2048400212480943
FAMSURV3_W50,age,3,older_adult,13.0,0.1548468776533744,0.0782244415942499
FAMSURV3_W50,education,0,some schooling,1.0,0.177864550935162,0.09036756423580683
FAMSURV3_W50,education,0,some schooling,3.0,0.6708190090707111,0.34277187136148746
FAMSURV3_W50,education,0,some schooling,5.0,0.9762566374291213,0.5175561582496597
FAMSURV3_W50,education,0,some schooling,7.0,1.0014522335850073,0.5369468447349638
FAMSURV3_W50,education,0,some schooling,9.0,0.9093351118194368,0.5149837466764877
FAMSURV3_W50,education,0,some schooling,13.0,0.7185178390707112,0.5387316213614874
FAMSURV3_W50,education,1,high school,1.0,0.03199541489233923,0.01632067501455673
FAMSURV3_W50,education,1,high school,3.0,0.04150164038738849,0.04150164038738849
FAMSURV3_W50,education,1,high school,5.0,0.20510336543896174,0.16381480966024517
FAMSURV3_W50,education,1,high school,7.0,0.4931202729350305,0.3165328222189596
