attribute,channel,magnitude,regime,model_class,n,mean_margin,ci95,median_margin,fraction_negative
age,steered,0.0,Neutral (N=0),adult,482,0.005739122098297,0.02049632459264797,0.0019813842496770873,0.49377593360995853
age,steered,2.0,Steered N=2,adult,482,0.007360711369847964,0.020389686422271933,0.0019813842496770873,0.49377593360995853
age,steered,4.0,Steered N=4,adult,482,0.0075254439151412784,0.020086076654338543,-0.0003979549999999499,0.5
age,steered,6.0,Steered N=6,adult,482,0.007840092922972428,0.01932901723791658,-0.0035026933114380918,0.5062240663900415
age,steered,8.0,Steered N=8,adult,482,0.007203246998130642,0.018961591447881006,-0.006849872974659693,0.5124481327800829
age,steered,10.0,Steered N=10,adult,482,0.008790293557607371,0.018645314662316708,-0.0037190934464519376,0.504149377593361
age,steered,12.0,Steered N=12,adult,482,0.006040358841607177,0.019174817272334634,0.0015423054105947256,0.495850622406639
age,steered,14.0,Steered N=14,adult,482,0.0028435526055911584,0.020249462091489406,0.003075464412451573,0.491701244813278
age,steered,16.0,Steered N=16,adult,482,0.0001732623083417933,0.020872230847784196,0.0034656357926617226,0.4896265560165975
age,steered,18.0,Steered N=18,adult,482,-0.004553036903993519,0.02113618019728222,0.00277613219647054,0.491701244813278
age,steered,20.0,Steered N=20,adult,482,-0.008891804309394655,0.020683922682165228,-0.0011509136559412006,0.5020746887966805
age,declared,,Declared,older_adult,482,-0.02564054046782839,0.019523679217532508,-0.004134017526956468,0.520746887966805
age,steered,0.0,Neutral (N=0),older_adult,482,-0.005739122098297,0.02049632459264797,-0.0019813842496770873,0.5062240663900415
age,steered,2.0,Steered N=2,older_adult,482,-0.008212997650698215,0.020252552282135215,-0.0019813842496770873,0.5062240663900415
age,steered,4.0,Steered N=4,older_adult,482,-0.01057425083921376,0.020068677168139162,-0.004005777867931576,0.5145228215767634
age,steered,6.0,Steered N=6,older_adult,482,-0.011062416827649363,0.020209186637211038,-0.0032447802051132346,0.5103734439834025
age,steered,8.0,Steered N=8,older_adult,482,-0.011126891034657355,0.02029794233404962,-0.0025196294124516794,0.508298755186722
age,steered,10.0,Steered N=10,older_adult,482,-0.011416655449937843,0.02025255863402057,-0.0019813842496769762,0.5062240663900415
age,steered,12.0,Steered N=12,older_adult,482,-0.010177136909643864,0.019983031542271837,-0.0008616498367330916,0.5020746887966805
age,steered,14.0,Steered N=14,older_adult,482,-0.009426989318560126,0.019488687028812565,-0.0011926913734093825,0.504149377593361
age,steered,16.0,Steered N=16,older_adult,482,-0.0067825145476874266,0.019557197279951595,0.0006178799999999596,0.5
age,steered,18.0,Steered N=18,older_adult,482,-0.002371905645396979,0.019849792611812633,0.0014876911609177645,0.4979253112033195
age,steered,20.0,Steered N=20,older_adult,482,0.0027632748700082196,0.020334201206980176,0.00500171251089071,0.487551867219917
education,declared,,Declared,some schooling,486,0.04139896371039933,0.017047971945177237,0.030986947693477707,0.38477366255144035
education,steered,0.0,Neutral (N=0),some schooling,486,0.05637345550670212,0.01709449000654622,0.03687531250000009,0.3765432098765432
education,steered,2.0,Steered N=2,some schooling,486,0.05466334511823793,0.016903678973059,0.035647210329956575,0.38065843621399176
education,steered,4.0,Steered N=4,some schooling,486,0.053606999393866164,0.01679406326613271,0.035647210329956575,0.38065843621399176
education,steered,6.0,Steered N=6,some schooling,486,0.05274523152222088,0.016878035493757052,0.034751063035011784,0.3868312757201646
education,steered,8.0,Steered N=8,some schooling,486,0.053926536148624075,0.01681350993262396,0.035647210329956464,0.3765432098765432
education,steered,10.0,Steered N=10,some schooling,486,0.0536915952690138,0.01673523927584695,0.035647210329956575,0.3765432098765432
education,steered,12.0,Steered N=12,some schooling,486,0.04962621321829202,0.016685040085567527,0.033537668597164366,0.3786008230452675
education,steered,14.0,Steered N=14,some schooling,486,0.047936992253204545,0.016621329391552683,0.030986947693477734,0.3868312757201646
education,steered,16.0,Steered N=16,some schooling,486,0.05049863660574214,0.016330272826482313,0.03430759906115832,0.3765432098765432
education,steered,18.0,Steered N=18,some schooling,486,0.049165600447264514,0.016230941841989803,0.03373980878514285,0.38271604938271603
education,steered,20.0,Steered N=20,some schooling,486,0.04078729076648228,0.016059522619537893,0.02603851922998418,0.411522633744856
