attribute,channel,magnitude,regime,n,n_human_groups,chance_accuracy,strict_accuracy,tie_aware_accuracy,fractional_tie_accuracy,lift_over_chance,tie_rate
education,steered,20.0,Steered N=20,1458,3,0.3333333333333333,0.345679012345679,0.345679012345679,0.345679012345679,0.012345679012345678,0.0
socioeco,declared,,Declared,972,2,0.5,0.5339506172839507,0.5339506172839507,0.5339506172839507,0.03395061728395066,0.0
socioeco,steered,0.0,Neutral (N=0),972,2,0.5,0.5,0.5,0.5,0.0,0.0
socioeco,steered,2.0,Steered N=2,972,2,0.5,0.49897119341563784,0.49897119341563784,0.49897119341563784,-0.001028806584362163,0.0
socioeco,steered,4.0,Steered N=4,972,2,0.5,0.49794238683127573,0.49794238683127573,0.49794238683127573,-0.0020576131687242705,0.0
socioeco,steered,6.0,Steered N=6,972,2,0.5,0.49794238683127573,0.49794238683127573,0.49794238683127573,-0.0020576131687242705,0.0
socioeco,steered,8.0,Steered N=8,972,2,0.5,0.5010288065843621,0.5010288065843621,0.5010288065843621,0.0010288065843621075,0.0
socioeco,steered,10.0,Steered N=10,972,2,0.5,0.5030864197530864,0.5030864197530864,0.5030864197530864,0.0030864197530864335,0.0
socioeco,steered,12.0,Steered N=12,972,2,0.5,0.5010288065843621,0.5010288065843621,0.5010288065843621,0.0010288065843621075,0.0
socioeco,steered,14.0,Steered N=14,972,2,0.5,0.5,0.5,0.5,0.0,0.0
socioeco,steered,16.0,Steered N=16,972,2,0.5,0.5,0.5,0.5,0.0,0.0
socioeco,steered,18.0,Steered N=18,972,2,0.5,0.5051440329218106,0.5051440329218106,0.5051440329218106,0.005144032921810648,0.0
socioeco,steered,20.0,Steered N=20,972,2,0.5,0.49691358024691357,0.49691358024691357,0.49691358024691357,-0.0030864197530864335,0.0
