attribute,channel,magnitude,regime,n,n_human_groups,chance_accuracy,strict_accuracy,tie_aware_accuracy,fractional_tie_accuracy,lift_over_chance,tie_rate
education,steered,6.0,Steered N=6,1458,3,0.3333333333333333,0.3326474622770919,0.3326474622770919,0.3326474622770919,-0.000685871056241405,0.0
education,steered,8.0,Steered N=8,1458,3,0.3333333333333333,0.32853223593964337,0.32853223593964337,0.32853223593964337,-0.004801097393689946,0.0
education,steered,10.0,Steered N=10,1458,3,0.3333333333333333,0.3319615912208505,0.3319615912208505,0.3319615912208505,-0.00137174211248281,0.0006858710562414266
education,steered,12.0,Steered N=12,1458,3,0.3333333333333333,0.3278463648834019,0.3278463648834019,0.3278463648834019,-0.005486968449931406,0.0
education,steered,14.0,Steered N=14,1458,3,0.3333333333333333,0.3278463648834019,0.3278463648834019,0.3278463648834019,-0.005486968449931406,0.0
education,steered,16.0,Steered N=16,1458,3,0.3333333333333333,0.3299039780521262,0.3299039780521262,0.3299039780521262,-0.003429355281207136,0.0
education,steered,18.0,Steered N=18,1458,3,0.3333333333333333,0.32647462277091904,0.32647462277091904,0.32647462277091904,-0.006858710562414272,0.0
education,steered,20.0,Steered N=20,1458,3,0.3333333333333333,0.32647462277091904,0.32647462277091904,0.32647462277091904,-0.006858710562414272,0.0
socioeco,declared,,Declared,972,2,0.5,0.5030864197530864,0.5041152263374485,0.5036008230452675,0.0036008230452675427,0.00102880658436214
socioeco,steered,0.0,Neutral (N=0),972,2,0.5,0.49897119341563784,0.5010288065843621,0.5,0.0,0.00205761316872428
socioeco,steered,2.0,Steered N=2,972,2,0.5,0.5051440329218106,0.507201646090535,0.5061728395061729,0.006172839506172867,0.00205761316872428
socioeco,steered,4.0,Steered N=4,972,2,0.5,0.5113168724279835,0.5123456790123457,0.5118312757201646,0.011831275720164625,0.00102880658436214
socioeco,steered,6.0,Steered N=6,972,2,0.5,0.5133744855967078,0.5133744855967078,0.5133744855967078,0.013374485596707841,0.0
socioeco,steered,8.0,Steered N=8,972,2,0.5,0.5082304526748971,0.5092592592592593,0.5087448559670782,0.008744855967078191,0.00102880658436214
socioeco,steered,10.0,Steered N=10,972,2,0.5,0.5,0.5010288065843621,0.5005144032921811,0.0005144032921811093,0.00102880658436214
socioeco,steered,12.0,Steered N=12,972,2,0.5,0.48148148148148145,0.4825102880658436,0.48199588477366256,-0.018004115226337436,0.00102880658436214
socioeco,steered,14.0,Steered N=14,972,2,0.5,0.4835390946502058,0.4835390946502058,0.4835390946502058,-0.01646090534979422,0.0
socioeco,steered,16.0,Steered N=16,972,2,0.5,0.4732510288065844,0.4732510288065844,0.4732510288065844,-0.026748971193415627,0.0
socioeco,steered,18.0,Steered N=18,972,2,0.5,0.47016460905349794,0.47016460905349794,0.47016460905349794,-0.02983539094650206,0.0
socioeco,steered,20.0,Steered N=20,972,2,0.5,0.45987654320987653,0.45987654320987653,0.45987654320987653,-0.04012345679012347,0.0
