qkey,attribute,channel,magnitude,regime,model_class,own_human_group,distance_own,mean_distance_others,specificity_margin
CARRYGUN_W26,socioeco,steered,12.0,Steered N=12,low,"Less than $30,000",0.60186885,0.8419846099999999,-0.2401157599999999
CARRYGUN_W26,socioeco,steered,14.0,Steered N=14,low,"Less than $30,000",0.5131315425910441,0.6023033320144783,-0.08917178942343418
CARRYGUN_W26,socioeco,steered,16.0,Steered N=16,low,"Less than $30,000",0.5638050268823962,0.35471914270529414,0.20908588417710205
CARRYGUN_W26,socioeco,steered,18.0,Steered N=18,low,"Less than $30,000",0.7159055223571783,0.4796218423571783,0.23628368
CARRYGUN_W26,socioeco,steered,20.0,Steered N=20,low,"Less than $30,000",0.9865302470077253,0.6984367870077253,0.28809346
CARRYGUN_W26,socioeco,declared,,Declared,high,"$100,000 or more",0.780505238934226,0.49241177893422594,0.28809346
CARRYGUN_W26,socioeco,steered,0.0,Neutral (N=0),high,"$100,000 or more",0.8092498921485833,0.562185436041774,0.24706445610680938
CARRYGUN_W26,socioeco,steered,2.0,Steered N=2,high,"$100,000 or more",0.7231644295731257,0.5386735044284646,0.18449092514466103
CARRYGUN_W26,socioeco,steered,4.0,Steered N=4,high,"$100,000 or more",0.5243274629002697,0.40378779574764223,0.12053966715262743
CARRYGUN_W26,socioeco,steered,6.0,Steered N=6,high,"$100,000 or more",0.46544483999999997,0.30959874,0.1558461
CARRYGUN_W26,socioeco,steered,8.0,Steered N=8,high,"$100,000 or more",0.4458085080410989,0.20532704625571402,0.24048146178538488
CARRYGUN_W26,socioeco,steered,10.0,Steered N=10,high,"$100,000 or more",0.3206967828674362,0.07366187128821772,0.24703491157921847
CARRYGUN_W26,socioeco,steered,12.0,Steered N=12,high,"$100,000 or more",0.23488036085978384,0.10247142886609184,0.132408931993692
CARRYGUN_W26,socioeco,steered,14.0,Steered N=14,high,"$100,000 or more",0.19270339925018806,0.21865301529521125,-0.02594961604502319
CARRYGUN_W26,socioeco,steered,16.0,Steered N=16,high,"$100,000 or more",0.1090174049021092,0.35664062081471537,-0.24762321591260616
CARRYGUN_W26,socioeco,steered,18.0,Steered N=18,high,"$100,000 or more",0.19967046999999996,0.4877639299999999,-0.2880934599999999
CARRYGUN_W26,socioeco,steered,20.0,Steered N=20,high,"$100,000 or more",0.2997617500316495,0.5878552100316494,-0.2880934599999999
GROWUPGUN2A_W26,gender,declared,,Declared,male,Male,0.03414348496241226,0.007685404962412212,0.02645808000000005
GROWUPGUN2A_W26,gender,steered,0.0,Neutral (N=0),male,Male,0.06505204049465962,0.09151012049465967,-0.02645808000000005
GROWUPGUN2A_W26,gender,steered,2.0,Steered N=2,male,Male,0.10344376835358848,0.12990184835358853,-0.02645808000000005
GROWUPGUN2A_W26,gender,steered,4.0,Steered N=4,male,Male,0.1635921265491378,0.19005020654913785,-0.02645808000000005
GROWUPGUN2A_W26,gender,steered,6.0,Steered N=6,male,Male,0.16753439999999997,0.19399248000000002,-0.02645808000000005
GROWUPGUN2A_W26,gender,steered,8.0,Steered N=8,male,Male,0.14165728,0.16811536000000005,-0.02645808000000005
GROWUPGUN2A_W26,gender,steered,10.0,Steered N=10,male,Male,0.12932837515410067,0.15578645515410072,-0.02645808000000005
GROWUPGUN2A_W26,gender,steered,12.0,Steered N=12,male,Male,0.1284054776047372,0.15486355760473725,-0.02645808000000005
GROWUPGUN2A_W26,gender,steered,14.0,Steered N=14,male,Male,0.1317174075053794,0.15817548750537946,-0.02645808000000005
GROWUPGUN2A_W26,gender,steered,16.0,Steered N=16,male,Male,0.13354488006592635,0.1600029600659264,-0.02645808000000005
GROWUPGUN2A_W26,gender,steered,18.0,Steered N=18,male,Male,0.13699234265286864,0.1634504226528687,-0.02645808000000005
GROWUPGUN2A_W26,gender,steered,20.0,Steered N=20,male,Male,0.1377139873254819,0.16417206732548195,-0.02645808000000005
GROWUPGUN2A_W26,gender,declared,,Declared,female,Female,0.11297245886147023,0.08651437886147018,0.02645808000000005
GROWUPGUN2A_W26,gender,steered,0.0,Neutral (N=0),female,Female,0.09151012049465967,0.06505204049465962,0.02645808000000005
GROWUPGUN2A_W26,gender,steered,2.0,Steered N=2,female,Female,0.09769309068014875,0.0712350106801487,0.02645808000000005
GROWUPGUN2A_W26,gender,steered,4.0,Steered N=4,female,Female,0.07463447000000001,0.04817638999999996,0.02645808000000005
GROWUPGUN2A_W26,gender,steered,6.0,Steered N=6,female,Female,0.10433778538077754,0.1307958653807776,-0.02645808000000005
GROWUPGUN2A_W26,gender,steered,8.0,Steered N=8,female,Female,0.2937669089363487,0.32022498893634876,-0.02645808000000005
GROWUPGUN2A_W26,gender,steered,10.0,Steered N=10,female,Female,0.37314262781497426,0.3996007078149743,-0.02645808000000005
