attribute,channel,magnitude,regime,model_class,n,mean_margin,ci95,median_margin,fraction_negative
gender,steered,10.0,Steered N=10,female,484,0.04037947426139941,0.01577137480903849,0.01994202859841343,0.40702479338842973
gender,steered,12.0,Steered N=12,female,484,0.03359235656212077,0.015712432917101723,0.01032206730006352,0.44421487603305787
gender,steered,14.0,Steered N=14,female,484,0.027409777465505554,0.015746506158739907,0.006038646586943711,0.46487603305785125
gender,steered,16.0,Steered N=16,female,484,0.025354683161566423,0.01590318463015952,0.005747372527524941,0.4669421487603306
gender,steered,18.0,Steered N=18,female,484,0.026820945538693974,0.01603783819297442,0.004524244198141736,0.4731404958677686
gender,steered,20.0,Steered N=20,female,484,0.029954113490361547,0.015956750636430584,0.00498688643151414,0.47107438016528924
age,declared,,Declared,adult,482,-0.040475147677627756,0.01715058759957777,-0.028951655398068654,0.5871369294605809
age,steered,0.0,Neutral (N=0),adult,482,-0.024980509211169538,0.017406131028125986,-0.015274096810802856,0.558091286307054
age,steered,2.0,Steered N=2,adult,482,-0.024339534412966695,0.018182057632903564,-0.019864252523419834,0.5705394190871369
age,steered,4.0,Steered N=4,adult,482,-0.02191358478332914,0.018573167814093638,-0.019707351129131252,0.5601659751037344
age,steered,6.0,Steered N=6,adult,482,-0.021479311365980774,0.019129780366765527,-0.017157155099716492,0.549792531120332
age,steered,8.0,Steered N=8,adult,482,-0.025245778454611987,0.01941608700388092,-0.016279807655462553,0.5373443983402489
age,steered,10.0,Steered N=10,adult,482,-0.029124402387174723,0.019919524160943964,-0.023898771388194018,0.5746887966804979
age,steered,12.0,Steered N=12,adult,482,-0.03046861434426698,0.019995324290381627,-0.024824687500000026,0.5850622406639004
age,steered,14.0,Steered N=14,adult,482,-0.031444178271554275,0.019830009420643266,-0.023039254446711233,0.5746887966804979
age,steered,16.0,Steered N=16,adult,482,-0.03288421687318237,0.019534867719473156,-0.023177736665839166,0.578838174273859
age,steered,18.0,Steered N=18,adult,482,-0.035039728397874406,0.01931513926073312,-0.02724286250000002,0.5892116182572614
