position,attribute,layer,n,mean_activation_strength,mean_normalized_confidence,gender_accuracy
after_name,gender,36,40,0.20097468199999996,0.6004873412499999,0.8
after_name,gender,37,40,0.4513001597499999,0.72565007875,0.675
after_name,gender,38,40,0.48465905200000015,0.7423295259999999,0.925
after_name,gender,39,40,0.523749331,0.7618746652500001,0.575
after_name,gender,40,40,0.3738711210000001,0.6869355592499996,0.55
after_name,socioeco,0,40,0.0002758799999999998,0.33351724999999993,
after_name,socioeco,1,40,0.00114235275,0.334094901,
after_name,socioeco,2,40,0.0008783200000000001,0.33391888025000005,
after_name,socioeco,3,40,0.005302955000000001,0.3368686370000001,
after_name,socioeco,4,40,0.0025501715,0.33503344799999996,
after_name,socioeco,5,40,0.0191497875,0.34609985825,
after_name,socioeco,6,40,0.036333477749999996,0.35755565124999994,
after_name,socioeco,7,40,0.0379366895,0.35862446025000005,
after_name,socioeco,8,40,0.050537261000000014,0.36702484125000007,
after_name,socioeco,9,40,0.037627600750000004,0.3584184005,
after_name,socioeco,10,40,0.05573848425,0.37049232275,
after_name,socioeco,11,40,0.12156397349999999,0.41437598200000003,
after_name,socioeco,12,40,0.11771829600000003,0.4118121974999999,
after_name,socioeco,13,40,0.12081023275,0.41387348799999996,
after_name,socioeco,14,40,0.31144770674999994,0.54096513875,
after_name,socioeco,15,40,0.30261754475,0.53507836275,
after_name,socioeco,16,40,0.23273844075000003,0.48849229425,
after_name,socioeco,17,40,0.16685298199999998,0.44456865425,
after_name,socioeco,18,40,0.17018709299999998,0.44679139574999993,
after_name,socioeco,19,40,0.246349253,0.49756616875,
after_name,socioeco,20,40,0.17674264,0.45116176024999993,
after_name,socioeco,21,40,0.20987462074999996,0.47324974724999996,
after_name,socioeco,22,40,0.13082414175,0.4205494272500001,
after_name,socioeco,23,40,0.17006302600000003,0.446708684,
after_name,socioeco,24,40,0.07807878475,0.3853858560000001,
after_name,socioeco,25,40,0.22610636525000002,0.48407090950000004,
after_name,socioeco,26,40,0.2930192482499999,0.52867949975,
after_name,socioeco,27,40,0.20780335725,0.47186890475000015,
after_name,socioeco,28,40,0.20405262575000002,0.46936841749999997,
after_name,socioeco,29,40,0.0667671795,0.37784478599999993,
after_name,socioeco,30,40,0.1842144,0.45614293300000003,
after_name,socioeco,31,40,0.03827517199999999,0.35885011575000003,
after_name,socioeco,32,40,0.17238489724999997,0.4482565984999999,
after_name,socioeco,33,40,0.07460627925000002,0.38307085299999993,
after_name,socioeco,34,40,0.22964952775000008,0.4864330184999999,
after_name,socioeco,35,40,0.22513494699999997,0.4834232989999999,
after_name,socioeco,36,40,0.0438467715,0.36256451475000007,
after_name,socioeco,37,40,0.3988098459999999,0.5992065635,
after_name,socioeco,38,40,0.26196133775,0.507974225,
after_name,socioeco,39,40,0.2170148835000001,0.47800992200000003,
after_name,socioeco,40,40,0.07777924350000001,0.3851861630000001,
final_prompt,age,0,19760,0.0006119800000002558,0.2504589899999745,
final_prompt,age,1,19760,0.0034349954154858225,0.2525762465571875,
final_prompt,age,2,19760,0.009484531245445266,0.25711339842357855,
final_prompt,age,3,19760,0.013766204650303506,0.26032465347267253,
final_prompt,age,4,19760,0.02497464035222681,0.2687309802677127,
final_prompt,age,5,19760,0.026165897926113412,0.2696244234640694,
final_prompt,age,6,19760,0.016704136985830002,0.26252810273684135,
final_prompt,age,7,19760,0.046144239502024384,0.28460817961791546,
final_prompt,age,8,19760,0.06819549913006061,0.30114662434008105,
final_prompt,age,9,19760,0.08779574808906869,0.31584681105617707,
final_prompt,age,10,19760,0.09621920172216591,0.3221644013345144,
final_prompt,age,11,19760,0.05310291540080994,0.2898271865637626,
final_prompt,age,12,19760,0.09808547037499998,0.3235641027439276,
final_prompt,age,13,19760,0.10800541664929117,0.33100406245192343,
final_prompt,age,14,19760,0.14134951710678098,0.35601213784159924,
final_prompt,age,15,19760,0.1543212733689278,0.3657409549812751,
final_prompt,age,16,19760,0.15661040940030346,0.3674578071062759,
final_prompt,age,17,19760,0.20047605748532404,0.40035704310829867,
final_prompt,age,18,19760,0.22265843497115415,0.41699382619888614,
final_prompt,age,19,19760,0.19566894403896995,0.3967517080420038,
final_prompt,age,20,19760,0.10754622444433184,0.330659668361839,
final_prompt,age,21,19760,0.10463788944838007,0.3284784170956467,
final_prompt,age,22,19760,0.0928117956244941,0.3196088467130576,
final_prompt,age,23,19760,0.1518334962975709,0.36387512223988033,
final_prompt,age,24,19760,0.16755598415131706,0.3756669881290487,
final_prompt,age,25,19760,0.2067580963304651,0.40506857226063037,
final_prompt,age,26,19760,0.22610145797014086,0.41957609348279334,
final_prompt,age,27,19760,0.1414943497945354,0.35612076234868373,
final_prompt,age,28,19760,0.14138788620242904,0.35604091463006154,
final_prompt,age,29,19760,0.1802142696128536,0.3851607022014168,
final_prompt,age,30,19760,0.19376216782388467,0.3953216258841086,
